@name,enabled,type,nameUi,order,cost,weight,costMod,crew,model,scale,group,mountPoints,countries,param,stats,caliber,#caliberInch,barrels,hullWeightRatio,sectionsMin,sectionsMax,tonnageMin,tonnageMax,maxAllowedCaliber,beamMin,beamMax,draughtMin,draughtMax,beamCoef,draughtCoef,minMainTurrets,minMainBarrels,speedLimiter,#comment,#comment2,#cost_base,#cost_base_mod
dido_funnel_1_angled_aux,,funnel,Aux Angled Funnel I,,235000,120,,4,dido_funnel_i var,1,,funnel,,"need(CL_Dido;C_class_New2;CL_Modern_2;German_CL_Exp_Advanced), needunlock(biglatefunnels_level_2)","funnel(1), fcap(25), smoke(15), size(4)",,,,,,,,,,,,,,,,,,,210,168,145000,435000
dido_funnel_1_tall_complex_small,,funnel,Medium Funnel Complex,,245000,125,,8,dido_funnel_f,0.75,,funnel,,need(CL_Hunter;CL_Armor_Exp_var;CL_Modern_2;German_CL_Exp_Advanced),"funnel(1), fcap(16.6), smoke(20), size(6.5), fire_ex(8)",,,,,,,,,,,,,,,,,,,190,152,145000,435000
dido_funnel_1_tall_small,,funnel,Medium Funnel with rangefinder,,195000,88.5,,4,dido_funnel_g,0.75,,funnel,,need(CL_Hunter;CL_Armor_Exp_var;CL_Modern_2;German_CL_Exp_Advanced),"funnel(1), fcap(14.9), smoke(18), size(5), aim(2.8)",,,,,,,,,,,,,,,,,,,170,136,145000,435000
dido_funnel_1_tall_smallest,,funnel,Medium Funnel with rangefinder,,155000,78.5,,3,dido_funnel_g,0.7,,funnel,,need(CL_Hunter;CL_Armor_Exp_var;CL_Modern_2;German_CL_Exp_Advanced),"funnel(1), fcap(13.3), smoke(16), size(4.5), aim(2.4)",,,,,,,,,,,,,,,,,,,160,128,145000,435000
dido_funnel_1_tall_smallest_dd,,funnel,Medium Funnel with rangefinder,,155000,62.8,,3,dido_funnel_g,0.7,,funnel,,need(TB_sloop_towers_france),"funnel(1), fcap(13.3), smoke(16), size(4.5), aim(2.4)",,,,,,,,,,,,,,,,,,,160,128,145000,435000
deRuyter_funnel_type_c_big,,funnel,Protected Crane Funnel II,,795000,429,,30,de_Ruyter_funnel_a,1.06,,funnel,,need(Warship_Austrian_Pocket),"funnel(1), fcap(43), smoke(34), size(16.5), fire_ex(30), radio(85)",,,,,,,,,,,,,,,,,,,140,112,145000,435000
deRuyter_funnel_type_c,,funnel,Protected Crane Funnel I,,705000,387,,30,de_Ruyter_funnel_a,1,,funnel,,need(Warship_Austrian_Pocket),"funnel(1), fcap(39), smoke(31), size(15), fire_ex(25), radio(75)",,,,,,,,,,,,,,,,,,,256,204.8,225000,675000
deRuyter_funnel_type_b_big,,funnel,Protected Combat Funnel II,,615000,396,,20,de_Ruyter_funnel_d,1.06,,funnel,,need(Warship_Austrian_Pocket),"funnel(1), fcap(42), smoke(33), size(10), aim(7), radio(60)",,,,,,,,,,,,,,,,,,,198.4,158.72,250000,750000
deRuyter_funnel_type_b,,funnel,Protected Combat Funnel I,,525000,354,,20,de_Ruyter_funnel_d,1,,funnel,,need(Warship_Austrian_Pocket),"funnel(1), fcap(38), smoke(30), size(9), aim(6.6), radio(50)",,,,,,,,,,,,,,,,,,,176,140.8,220000,660000
deRuyter_funnel_type_a_big,,funnel,Protected Funnel II,,395000,320,,10,de_Ruyter_funnel_c,1.06,,funnel,,need(Warship_Austrian_Pocket),"funnel(1), fcap(40), smoke(28), size(8.5)",,,,,,,,,,,,,,,,,,,451.2,360.96,420000,1260000
deRuyter_funnel_type_a,,funnel,Protected Funnel I,,305000,280,,10,de_Ruyter_funnel_c,1,,funnel,,need(Warship_Austrian_Pocket),"funnel(1), fcap(35), smoke(26), size(7.5)",,,,,,,,,,,,,,,,,,,416,332.8,360000,1080000
deRuyter_funnel_type_c_big_ca,,funnel,Protected Crane Funnel II,,795000,319,,30,de_Ruyter_funnel_a,1.06,,funnel,,need(CA_Austrian_Pocket),"funnel(1), fcap(43), smoke(34), size(16.5), fire_ex(30), radio(85)",,,,,,,,,,,,,,,,,,,140,112,145000,435000
deRuyter_funnel_type_c_ca,,funnel,Protected Crane Funnel I,,705000,315,,30,de_Ruyter_funnel_a,1,,funnel,,need(CA_Austrian_Pocket),"funnel(1), fcap(39), smoke(31), size(15), fire_ex(25), radio(75)",,,,,,,,,,,,,,,,,,,256,204.8,225000,675000
deRuyter_funnel_type_b_big_ca,,funnel,Protected Combat Funnel II,,615000,312,,20,de_Ruyter_funnel_d,1.06,,funnel,,need(CA_Austrian_Pocket),"funnel(1), fcap(42), smoke(33), size(10), aim(7), radio(60)",,,,,,,,,,,,,,,,,,,198.4,158.72,250000,750000
deRuyter_funnel_type_b_ca,,funnel,Protected Combat Funnel I,,525000,278,,20,de_Ruyter_funnel_d,1,,funnel,,need(CA_Austrian_Pocket),"funnel(1), fcap(38), smoke(30), size(9), aim(6.6), radio(50)",,,,,,,,,,,,,,,,,,,176,140.8,220000,660000
deRuyter_funnel_type_a_big_ca,,funnel,Protected Funnel II,,395000,240,,10,de_Ruyter_funnel_c,1.06,,funnel,,need(CA_Austrian_Pocket),"funnel(1), fcap(40), smoke(28), size(8.5)",,,,,,,,,,,,,,,,,,,451.2,360.96,420000,1260000
deRuyter_funnel_type_a_ca,,funnel,Protected Funnel I,,305000,210,,10,de_Ruyter_funnel_c,1,,funnel,,need(CA_Austrian_Pocket),"funnel(1), fcap(35), smoke(26), size(7.5)",,,,,,,,,,,,,,,,,,,416,332.8,360000,1080000
deRuyter_funnel_type_c_big_cl,,funnel,Protected Crane Funnel II,,795000,280,,30,de_Ruyter_funnel_a,1.06,,funnel,,need(CL_deRuyter),"funnel(1), fcap(39), smoke(34), size(16.5), fire_ex(30), radio(85)",,,,,,,,,,,,,,,,,,,140,112,145000,435000
deRuyter_funnel_type_c_cl,,funnel,Protected Crane Funnel I,,705000,275,,30,de_Ruyter_funnel_a,1,,funnel,,need(CL_deRuyter),"funnel(1), fcap(40), smoke(31), size(15), fire_ex(25), radio(75)",,,,,,,,,,,,,,,,,,,256,204.8,225000,675000
deRuyter_funnel_type_b_big_cl,,funnel,Protected Combat Funnel II,,615000,270,,20,de_Ruyter_funnel_d,1.06,,funnel,,need(CL_deRuyter),"funnel(1), fcap(42), smoke(33), size(10), aim(7), radio(60)",,,,,,,,,,,,,,,,,,,198.4,158.72,250000,750000
deRuyter_funnel_type_b_cl,,funnel,Protected Combat Funnel I,,525000,240,,20,de_Ruyter_funnel_d,1,,funnel,,need(CL_deRuyter),"funnel(1), fcap(38), smoke(30), size(9), aim(6.6), radio(50)",,,,,,,,,,,,,,,,,,,176,140.8,220000,660000
deRuyter_funnel_type_a_big_cl,,funnel,Protected Funnel II,,395000,200,,10,de_Ruyter_funnel_c,1.06,,funnel,,need(CL_deRuyter),"funnel(1), fcap(40), smoke(28), size(8.5)",,,,,,,,,,,,,,,,,,,451.2,360.96,420000,1260000
deRuyter_funnel_type_a_cl,,funnel,Protected Funnel I,,305000,175,,10,de_Ruyter_funnel_c,1,,funnel,,need(CL_deRuyter),"funnel(1), fcap(35), smoke(26), size(7.5)",,,,,,,,,,,,,,,,,,,416,332.8,360000,1080000
brooklyn_funnel_1_angled_dual_b_2,,funnel,Turbo Dual Funnel IV,,1310000,450,,25,brooklyn_funnel_b,1.05,,funnel,,need(CL_Brooklyn),"funnel(2), fcap(85), smoke(59), size(20), aim(5)",,,,,,,,,,,,,,,,,,,371.2,296.96,320000,960000
brooklyn_funnel_1_angled_dual_2,,funnel,Turbo Dual Funnel III,,1180000,439,,22,brooklyn_funnel_c,1.05,,funnel,,need(CL_Brooklyn),"funnel(2), fcap(83), smoke(57), size(19), aim(4.8)",,,,,,,,,,,,,,,,,,,291.84,233.472,270000,810000
brooklyn_funnel_1_angled_dual_b,,funnel,Turbo Dual Funnel II,,1080000,422.5,,20,brooklyn_funnel_b,1,,funnel,,need(CL_Brooklyn),"funnel(2), fcap(80), smoke(55), size(18), aim(4.5)",,,,,,,,,,,,,,,,,,,249.6,199.68,185000,555000
brooklyn_funnel_1_angled_dual,,funnel,Turbo Dual Funnel I,,905000,408,,16,brooklyn_funnel_c,1,,funnel,,need(CL_Brooklyn),"funnel(2), fcap(77.5), smoke(50), size(16), aim(4.1)",,,,,,,,,,,,,,,,,,,224,179.2,125000,375000
brooklyn_funnel_1_angled_b_2,,funnel,Turbo Angled Funnel IV,,625000,243,,14,brooklyn_funnel_e,1.05,,funnel,,need(CL_Brooklyn),"funnel(1), fcap(45), smoke(30), size(10), aim(3.6)",,,,,,,,,,,,,,,,,,,172.8,138.24,105000,315000
brooklyn_funnel_1_angled_2,,funnel,Turbo Angled Funnel III,,525000,226.5,,12,brooklyn_funnel_f,1.05,,funnel,,need(CL_Brooklyn),"funnel(1), fcap(42), smoke(29), size(9.5), aim(3.3)",,,,,,,,,,,,,,,,,,,288,230.4,125000,375000
brooklyn_funnel_1_angled_b,,funnel,Turbo Angled Funnel II,,485000,213,,11,brooklyn_funnel_e,1,,funnel,,need(CL_Brooklyn),"funnel(1), fcap(39.5), smoke(28), size(9), aim(3.1)",,,,,,,,,,,,,,,,,,,262.4,209.92,98000,294000
brooklyn_funnel_1_angled,,funnel,Turbo Angled Funnel I,,405000,202.5,,10,brooklyn_funnel_f,1,,funnel,,need(CL_Brooklyn),"funnel(1), fcap(37.5), smoke(26), size(8.5), aim(3)",,,,,,,,,,,,,,,,,,,224,179.2,75000,225000
brooklyn_funnel_1_angled_small_2,,funnel,Enhanced Angled Funnel II,,355000,162.5,,9,brooklyn_funnel_a,1,,funnel,,need(CL_Brooklyn;CL_Modern_2),"funnel(1), fcap(32.5), smoke(21), size(7)",,,,,,,,,,,,,,,,,,,198.4,158.72,65000,195000
brooklyn_funnel_1_angled_small,,funnel,Enhanced Angled Funnel I,,305000,152.5,,8,brooklyn_funnel_a,1,,funnel,,need(CL_Brooklyn;CL_Modern_2),"funnel(1), fcap(30.5), smoke(20), size(6.5)",,,,,,,,,,,,,,,,,,,160,128,55000,165000
brooklyn_funnel_1_angled_vsmall_2,,funnel,Standard Angled Funnel II,,235000,115,,7,brooklyn_funnel_d,1.05,,funnel,,need(CL_Brooklyn;CL_Modern_2),"funnel(1), fcap(23), smoke(17), size(6)",,,,,,,,,,,,,,,,,,,140.8,112.64,37000,111000
brooklyn_funnel_1_angled_vsmall,,funnel,Standard Angled Funnel I,,175000,105,,6,brooklyn_funnel_d,1,,funnel,,need(CL_Brooklyn;CL_Modern_2),"funnel(1), fcap(21), smoke(15), size(5.5)",,,,,,,,,,,,,,,,,,,352,281.6,250000,750000
heavy_ca_funnel_2_small,,funnel,Thick Funnel I (Small),,675000,204,,18,trento_funnel_b,0.95,,funnel,,need(CA_Heavy_Trento;CA_Heavy_Early;CA_Heavy_Early_Cut),"funnel(1), fcap(34), smoke(26), size(5.5)",,,,,,,,,,,,,,,,,,,320,256,190000,570000
heavy_ca_funnel_2_small_cl,,funnel,Thick Funnel I (Small),,675000,170,,18,trento_funnel_b,0.95,,funnel,,need(CL_Modern_2;CL_Modern_2_Trento),"funnel(1), fcap(34), smoke(26), size(5.5)",,,,,,,,,,,,,,,,,,,320,256,190000,570000
heavy_ca_funnel_1,,funnel,Advanced Funnel II,,750000,280,,18,pola_funnel_a,1.05,,funnel,,need(BC_Modern),"funnel(1), fcap(35), smoke(27), size(5.3)",,,,,,,,,,,,,,,,,,,304,243.2,160000,480000
heavy_ca_funnel_1_ca,,funnel,Advanced Funnel II,,750000,210,,18,pola_funnel_a,1.05,,funnel,,need(CA_Heavy;CA_Heavy_German;CA_Heavy_Gen;CA_Heavy_USA),"funnel(1), fcap(35), smoke(27), size(5.3)",,,,,,,,,,,,,,,,,,,304,243.2,160000,480000
heavy_ca_funnel_1_cl,,funnel,Advanced Funnel II,,750000,175,,18,pola_funnel_a,1.05,,funnel,,need(CL_Modern;Navarra),"funnel(1), fcap(35), smoke(27), size(5.3)",,,,,,,,,,,,,,,,,,,304,243.2,160000,480000
heavy_ca_funnel_1_small,,funnel,Advanced Funnel I,,660000,192,,18,pola_funnel_a,1,,funnel,,need(CA_Heavy_USA;CA_British_Late),"funnel(1), fcap(32), smoke(25), size(4.9)",,,,,,,,,,,,,,,,,,,288,230.4,150000,450000
mogami_funnel_2_large2,,funnel,Dual Angled Funnel IV,,1260000,640,,28,moga_funnel_a,1.16,,funnel,,"need(BC_Scout_Mogami), needunlock(biglatefunnels_level_4)","funnel(2), fcap(80), smoke(55), size(13.2)",,,,,,,,,,,,,,,,,,,236.8,189.44,100000,300000
mogami_funnel_2_large,,funnel,Dual Angled Funnel III,,1080000,600,,25,moga_funnel_a,1.1,,funnel,,"need(BC_Scout_Mogami), needunlock(biglatefunnels_level_4)","funnel(2), fcap(75), smoke(50), size(12.5)",,,,,,,,,,,,,,,,,,,192,153.6,75000,225000
mogami_funnel_2,,funnel,Dual Angled Funnel II,,960000,520,,20,moga_funnel_a,1,,funnel,,"need(BC_Scout_Mogami), needunlock(biglatefunnels_level_3)","funnel(2), fcap(65), smoke(45), size(11)",,,,,,,,,,,,,,,,,,,140.8,112.64,50000,150000
mogami_funnel_2_large2_ca,,funnel,Dual Angled Funnel IV,,1260000,480,,28,moga_funnel_a,1.16,,funnel,,"need(CA_Heavy_Mogami;CA_Light_Mogami;CA_Heavy_Atago;CA_Scout_Mogami;CA_Heavy_Atago_New), needunlock(biglatefunnels_level_4)","funnel(2), fcap(80), smoke(55), size(13.2)",,,,,,,,,,,,,,,,,,,236.8,189.44,100000,300000
mogami_funnel_2_large_ca,,funnel,Dual Angled Funnel III,,1080000,450,,25,moga_funnel_a,1.1,,funnel,,"need(CA_Heavy_Mogami;CA_Light_Mogami;CA_Heavy_Atago;CA_Scout_Mogami;CA_Heavy_Atago_New), needunlock(biglatefunnels_level_4)","funnel(2), fcap(75), smoke(50), size(12.5)",,,,,,,,,,,,,,,,,,,192,153.6,75000,225000
mogami_funnel_2_ca,,funnel,Dual Angled Funnel II,,960000,390,,20,moga_funnel_a,1,,funnel,,"need(CA_Heavy_Mogami;CA_Light_Mogami;CA_Heavy_Atago;CA_Scout_Mogami;CA_Heavy_Atago_New), needunlock(biglatefunnels_level_3)","funnel(2), fcap(65), smoke(45), size(11)",,,,,,,,,,,,,,,,,,,140.8,112.64,50000,150000
mogami_funnel_2_large2_cl,,funnel,Dual Angled Funnel IV,,1260000,400,,28,moga_funnel_a,1.16,,funnel,,"need(CL_Scout_Mogami), needunlock(biglatefunnels_level_4)","funnel(2), fcap(80), smoke(55), size(13.2)",,,,,,,,,,,,,,,,,,,236.8,189.44,100000,300000
mogami_funnel_2_large_cl,,funnel,Dual Angled Funnel III,,1080000,375,,25,moga_funnel_a,1.1,,funnel,,"need(CL_Scout_Mogami), needunlock(biglatefunnels_level_4)","funnel(2), fcap(75), smoke(50), size(12.5)",,,,,,,,,,,,,,,,,,,192,153.6,75000,225000
mogami_funnel_2_cl,,funnel,Dual Angled Funnel II,,960000,325,,20,moga_funnel_a,1,,funnel,,"need(CL_Scout_Mogami), needunlock(biglatefunnels_level_3)","funnel(2), fcap(65), smoke(45), size(11)",,,,,,,,,,,,,,,,,,,140.8,112.64,50000,150000
mogami_funnel_2_small,,funnel,Dual Angled Funnel I,,810000,330,,12,moga_funnel_a,0.9,,funnel,,need(CA_Heavy_Mogami;CA_Light_Mogami;CA_Scout_Mogami;CA_Heavy_Atago_New),"funnel(2), fcap(55), smoke(41), size(8)",,,,,,,,,,,,,,,,,,,512,409.6,270000,810000
mogami_funnel_2_small_cl,,funnel,Dual Angled Funnel I,,810000,275,,12,moga_funnel_a,0.9,,funnel,,need(CL_Scout_Mogami),"funnel(2), fcap(55), smoke(41), size(8)",,,,,,,,,,,,,,,,,,,512,409.6,270000,810000
mogami_funnel_1_large,,funnel,Tall Angled Funnel III,,555000,480,,18,moga_funnel_b,1.1,,funnel,,"need(BC_Scout_Mogami), needunlock(biglatefunnels_level_2)","funnel(1), fcap(60), smoke(37), size(10.5)",,,,,,,,,,,,,,,,,,,448,358.4,220000,660000
mogami_funnel_1,,funnel,Tall Angled Funnel II,,375000,400,,15,moga_funnel_b,1,,funnel,,need(BC_Scout_Mogami),"funnel(1), fcap(50), smoke(33), size(9)",,,,,,,,,,,,,,,,,,,364.8,291.84,68000,204000
mogami_funnel_1_large_ca,,funnel,Tall Angled Funnel III,,555000,360,,18,moga_funnel_b,1.1,,funnel,,"need(CA_Heavy_Mogami;CA_Light_Mogami;CA_Heavy_Atago;CA_Scout_Mogami;CA_Heavy_Atago_New), needunlock(biglatefunnels_level_2)","funnel(1), fcap(60), smoke(37), size(10.5)",,,,,,,,,,,,,,,,,,,448,358.4,220000,660000
mogami_funnel_1_ca,,funnel,Tall Angled Funnel II,,375000,300,,15,moga_funnel_b,1,,funnel,,need(CA_Heavy_Mogami;CA_Light_Mogami;CA_Heavy_Atago;CA_Scout_Mogami;CA_Heavy_Atago_New),"funnel(1), fcap(50), smoke(33), size(9)",,,,,,,,,,,,,,,,,,,364.8,291.84,68000,204000
mogami_funnel_1_large_cl,,funnel,Tall Angled Funnel III,,555000,300,,18,moga_funnel_b,1.1,,funnel,,"need(CL_Scout_Mogami), needunlock(biglatefunnels_level_2)","funnel(1), fcap(60), smoke(37), size(10.5)",,,,,,,,,,,,,,,,,,,448,358.4,220000,660000
mogami_funnel_1_cl,,funnel,Tall Angled Funnel II,,375000,250,,15,moga_funnel_b,1,,funnel,,need(CL_Scout_Mogami),"funnel(1), fcap(50), smoke(33), size(9)",,,,,,,,,,,,,,,,,,,364.8,291.84,68000,204000
mogami_funnel_1_small,,funnel,Tall Angled Funnel I,,315000,240,,8,moga_funnel_b,0.9,,funnel,,need(CA_Heavy_Mogami;CA_Light_Mogami;CA_Scout_Mogami;CA_Heavy_Atago_New),"funnel(1), fcap(40), smoke(30), size(6.5)",,,,,,,,,,,,,,,,,,,313.6,250.88,58000,174000
mogami_funnel_1_small_cl,,funnel,Tall Angled Funnel I,,315000,200,,8,moga_funnel_b,0.9,,funnel,,need(CL_Scout_Mogami),"funnel(1), fcap(40), smoke(30), size(6.5)",,,,,,,,,,,,,,,,,,,313.6,250.88,58000,174000
late_ca_funnel_3,,funnel,Big Funnel II,,375000,132,,15,dreadnought_funnel_d,0.75,,funnel,,"need(CA_Late;CA_Late2), needunlock(bigearlyfunnels_level_3)","funnel(1), fcap(16.5), smoke(27), size(5.5)",,,,,,,,,,,,,,,,,,,236.8,189.44,48000,144000
late_ca_funnel_3_small,,funnel,Big Funnel I,,294000,120,,14,dreadnought_funnel_d,0.71,,funnel,,"need(CA_Late;CA_Late2), needunlock(bigearlyfunnels_level_3)","funnel(1), fcap(15), smoke(25), size(5)",,,,,,,,,,,,,,,,,,,198.4,158.72,43000,129000
late_ca_funnel_2,,funnel,Medium Funnel II,,225000,112,,13,agamemnon_funnel_b,0.7,,funnel,,"need(CA_Late;CA_Late2), needunlock(bigearlyfunnels_level_2)","funnel(1), fcap(14), smoke(20), size(4.5)",,,,,,,,,,,,,,,,,,,160,128,38000,114000
late_ca_funnel_2_small,,funnel,Medium Funnel I,,195000,100.8,,12,agamemnon_funnel_b,0.65,,funnel,,"need(CA_Late;CA_Late2), needunlock(bigearlyfunnels_level_2)","funnel(1), fcap(12.6), smoke(17), size(4)",,,,,,,,,,,,,,,,,,,147.2,117.76,33000,99000
late_ca_funnel_2_cl,,funnel,Medium Funnel II,,225000,84,,13,agamemnon_funnel_b,0.7,,funnel,,"need(CL_Modern), needunlock(bigearlyfunnels_level_2)","funnel(1), fcap(14), smoke(20), size(4.5)",,,,,,,,,,,,,,,,,,,160,128,38000,114000
late_ca_funnel_2_small_cl,,funnel,Medium Funnel I,,195000,75.6,,12,agamemnon_funnel_b,0.65,,funnel,,"need(CL_Modern), needunlock(bigearlyfunnels_level_2)","funnel(1), fcap(12.6), smoke(17), size(4)",,,,,,,,,,,,,,,,,,,147.2,117.76,33000,99000
late_ca_funnel_1,,funnel,Small Funnel II,,165000,88,,11,invincible_funnel_b,1,,funnel,,need(CA_Late;CA_Late2),"funnel(1), fcap(11), smoke(15), size(3.5)",,,,,,,,,,,,,,,,,,,134.4,107.52,28000,84000
late_ca_funnel_1_small,,funnel,Small Funnel I,,111000,81.6,,9,invincible_funnel_b,0.94,,funnel,,need(CA_Late;CA_Late2),"funnel(1), fcap(10.2), smoke(13), size(3)",,,,,,,,,,,,,,,,,,,499.2,399.36,270000,810000
agamemnon_funnel_4_normal_xbig,,funnel,Big Funnel III,,750000,210,,45,agamemnon_funnel_b,1.1,,funnel,,"need(Pervozvanny), need(g1), needunlock(bigearlyfunnels_level_3)","funnel(1), fcap(21), smoke(36), size(8.5)",,,,,,,,,,,,,,,,,,,435.2,348.16,220000,660000
agamemnon_funnel_4_normal_big,,funnel,Big Funnel II,,570000,200,,40,agamemnon_funnel_b,1.05,,funnel,,"need(Pervozvanny), need(g1), needunlock(bigearlyfunnels_level_2)","funnel(1), fcap(20), smoke(34), size(8)",,,,,,,,,,,,,,,,,,,352,281.6,150000,450000
agamemnon_funnel_4_normal,,funnel,Big Funnel I,,480000,190,,35,agamemnon_funnel_b,1,,funnel,,"need(Pervozvanny), need(g1)","funnel(1), fcap(19), smoke(32), size(7.5)",,,,,,,,,,,,,,,,,,,288,230.4,110000,330000
agamemnon_funnel_4,,funnel,Big Funnel,,450000,180,,35,agamemnon_funnel_b,0.95,,funnel,,"need(B_Agamemnon), need(g1), needunlock(earlydreadnoughtfunnels_level_3)","funnel(1), fcap(18), smoke(30), size(7)",,,,,,,,,,,,,,,,,,,249.6,199.68,95000,285000
agamemnon_funnel_3,,funnel,Dual Funnel (Large),,300000,144,,30,irresistible_funnel_b,0.9,,funnel,,"need(B_Agamemnon), need(g1), needunlock(earlydreadnoughtfunnels_level_2)","funnel(2), fcap(14.4), smoke(25), size(6.7)",,,,,,,,,,,,,,,,,,,230.4,184.32,58000,174000
agamemnon_funnel_2,,funnel,Dual Funnel (Small),,225000,110,,25,brandenburg_funnel_e,0.9,,funnel,,"need(B_Agamemnon), need(g1), needunlock(earlydreadnoughtfunnels_level_2)","funnel(2), fcap(11), smoke(22), size(6)",,,,,,,,,,,,,,,,,,,185.6,148.48,45000,135000
agamemnon_funnel_1,,funnel,Air Intake Funnel,,150000,70,,15,agamemnon_funnel_a,0.9,,funnel,,"need(B_Agamemnon), need(g1)","funnel(1), fcap(7), smoke(17), size(4.7)",,,,,,,,,,,,,,,,,,,153.6,122.88,40000,120000
inflex_funnel_3,,funnel,Thick Funnel III,,49500,45,,7,inflex_funnel_a,1.1,,funnel,,"need(B_Inflex;B_Inflex_exp), need(g1;g2)","funnel(1), fcap(4.5), smoke(9), size(3.5)",,,,,,,,,,,,,,,,,,,43,34.4,7500,22500
inflex_funnel_2,,funnel,Thick Funnel II,,40500,40,,6,inflex_funnel_a,1.05,,funnel,,"need(B_Inflex;B_Inflex_exp), need(g1;g2)","funnel(1), fcap(4), smoke(8), size(3)",,,,,,,,,,,,,,,,,,,39,31.2,7500,22500
inflex_funnel_1,,funnel,Thick Funnel I,,32500,35,,5,inflex_funnel_a,1,,funnel,,"need(B_Inflex;B_Inflex_exp), need(g1;g2)","funnel(1), fcap(3.5), smoke(7), size(2.5)",,,,,,,,,,,,,,,,,,,35,28,7500,22500
pre-dreadnought_funnel_8_usa_big,,funnel,Triple Funnel (Large),,810000,210,,50,dreadnought_funnel_c,1.52,,funnel,,"need(B_usa;B_usa_early), need(g1), needunlock(earlydreadnoughtfunnels_level_3)","funnel(3), fcap(21), smoke(40), size(12)",,,,,,,,,,,,,,,,,,,140.8,112.64,35000,105000
pre-dreadnought_funnel_8_usa,,funnel,Triple Funnel,,660000,190,,43,dreadnought_funnel_c,1.449,,funnel,,"need(B_usa;B_usa_early), need(g1), needunlock(earlydreadnoughtfunnels_level_3)","funnel(3), fcap(19), smoke(34), size(11)",,,,,,,,,,,,,,,,,,,128,102.4,30000,90000
pre-dreadnought_funnel_7_usa,,funnel,Dual Funnel (Large),,204000,148,,33,irresistible_funnel_b,1.344,,funnel,,"need(B_usa;B_usa_early), need(g1), needunlock(earlydreadnoughtfunnels_level_3)","funnel(2), fcap(14.8), smoke(30), size(7)",,,,,,,,,,,,,,,,,,,89,71.2,9500,28500
pre-dreadnought_funnel_6_usa,,funnel,Dual Funnel (Small),,174000,110,,29,brandenburg_funnel_e,1.344,,funnel,,"need(B_usa;B_usa_early), need(g1), needunlock(earlydreadnoughtfunnels_level_2)","funnel(2), fcap(11), smoke(25), size(6)",,,,,,,,,,,,,,,,,,,77,61.6,9500,28500
pre-dreadnought_funnel_5_usa,,funnel,Air Intake Funnel (Extra Large),,144000,90,,24,irresistible_funnel_a,1.47,,funnel,,"need(B_usa;B_usa_early), need(g1), needunlock(earlydreadnoughtfunnels_level_2)","funnel(1), fcap(9), smoke(20), size(5.5)",,,,,,,,,,,,,,,,,,,67,53.6,9500,28500
pre-dreadnought_funnel_4_usa,,funnel,Air Intake Funnel (Large),,129000,83,,19,cressy_funnel_b,1.47,,funnel,,"need(B_usa;B_usa_early), need(g1), needunlock(earlydreadnoughtfunnels_level_2)","funnel(1), fcap(8.3), smoke(18), size(5)",,,,,,,,,,,,,,,,,,,58,46.4,9500,28500
pre-dreadnought_funnel_3_usa,,funnel,Air Intake Funnel (Medium),,114000,95,,19,cressy_funnel_d,1.26,,funnel,,"need(B_usa;B_usa_early), need(g1)","funnel(1), fcap(9.5), smoke(17), size(4.7)",,,,,,,,,,,,,,,,,,,50,40,8500,25500
pre-dreadnought_funnel_2_usa,,funnel,Air Intake Funnel (Small),,99000,75,,19,cressy_funnel_c,1.26,,funnel,,"need(B_usa;B_usa_early), need(g1)","funnel(1), fcap(7.5), smoke(16), size(4.4)",,,,,,,,,,,,,,,,,,,45,36,7500,22500
pre-dreadnought_funnel_1_usa,,funnel,Standard Funnel,,84000,60,,16,cressy_funnel_a,1.26,,funnel,,"need(B_usa;B_usa_early), need(g1)","funnel(1), fcap(6), smoke(15), size(4.2)",,,,,,,,,,,,,,,,,,,80,64,19500,58500
pre-dreadnought_funnel_8_large,,funnel,Triple Funnel (Large),,810000,205,,45,dreadnought_funnel_c,1.175,,funnel,,"need(B), need(g1), needunlock(bigearlyfunnels_level_3)","funnel(3), fcap(20.5), smoke(37), size(11)",,,,,,,,,,,,,,,,,,,75,60,13500,40500
pre-dreadnought_funnel_8,,funnel,Triple Funnel,,660000,190,,40,dreadnought_funnel_c,1.1,,funnel,,"need(B), need(g1), needunlock(bigearlyfunnels_level_3)","funnel(3), fcap(19), smoke(32), size(10)",,,,,,,,,,,,,,,,,,,65,52,11500,34500
pre-dreadnought_funnel_8_large_ca,,funnel,Triple Funnel (Large),,810000,164,,45,dreadnought_funnel_c,1.175,,funnel,,"need(CA_Warrior;CA_Pisa;CA_Large_GunSides), need(g1), needunlock(bigearlyfunnels_level_3)","funnel(3), fcap(20.5), smoke(37), size(11)",,,,,,,,,,,,,,,,,,,75,60,13500,40500
pre-dreadnought_funnel_8_ca,,funnel,Triple Funnel,,660000,152,,40,dreadnought_funnel_c,1.1,,funnel,,"need(CA_Warrior;CA_Pisa;CA_Large_GunSides), need(g1), needunlock(bigearlyfunnels_level_3)","funnel(3), fcap(19), smoke(32), size(10)",,,,,,,,,,,,,,,,,,,65,52,11500,34500
pre-dreadnought_funnel_7,,funnel,Dual Funnel (Large),,450000,148,,30,irresistible_funnel_b,1,,funnel,,"need(B;B_Borodino), need(g1), needunlock(bigearlyfunnels_level_3)","funnel(2), fcap(14.8), smoke(30), size(6.7)",,,,,,,,,,,,,,,,,,,40,32,9500,28500
