#id (do not edit)                ,enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#,#,#,#,#,#,#,#,#,,,,,,,,,
"gun_12_x2_germany_bb,bc",,305,gun_12_x2,germany,"bb, bc",,,,,,vdt_gun_280_x2,1.1186,1.1977,0.82,45,spee_gun_var_280_x2,0.9908,1.0581,0.82,45,bismarck_gun_380_x2,0.8456,0.8992,0.82,45,bismarck_gun_380_x2,0.8456,0.8992,0.82,50,,,,,,,,,,,,,,,,,,,
"gun_12_x3_germany_bb,bc",,305,gun_12_x3,germany,"bb, bc",,,,,,vdt_gun_280_x3,1.1186,1.1977,0.66,45,spee_gun_var_280_x3,0.9908,1.0581,0.66,45,spee_gun_280_x3_a,0.9908,1.0581,0.66,45,spee_gun_280_x3_a,0.9908,1.0581,0.66,50,,,,,,,,,,,,,,,,,,,
"gun_12_x4_germany_bb,bc",,305,gun_12_x4,germany,"bb, bc",,,,,,vdt_gun_280_x4,1.1186,1.1977,0.61,45,spee_gun_280_x4_a,0.9908,1.0581,0.61,45,spee_gun_280_x4_a,0.9908,1.0581,0.61,45,spee_gun_280_x4_a,0.9908,1.0581,0.61,50,,,,,,,,,,,,,,,,,,,
"gun_13_x1_germany_bb,bc",,330,gun_13_x1,germany,"bb, bc",,,,,,vdt_gun_280_x1,1.2077,1.2868,1.13,45,spee_gun_var_280_x1,1.0681,1.1354,1.13,45,bismarck_gun_380_x1,0.9092,0.9628,1.13,45,bismarck_gun_380_x1,0.9092,0.9628,1.13,50,,,,,,,,,,,,,,,,,,,
"gun_13_x2_germany_bb,bc",,330,gun_13_x2,germany,"bb, bc",,,,,,vdt_gun_280_x2,1.2077,1.2868,0.88,45,spee_gun_var_280_x2,1.0681,1.1354,0.88,45,bismarck_gun_380_x2,0.9092,0.9628,0.88,45,bismarck_gun_380_x2,0.9092,0.9628,0.88,50,,,,,,,,,,,,,,,,,,,
"gun_13_x3_germany_bb,bc",,330,gun_13_x3,germany,"bb, bc",,,,,,vdt_gun_280_x3,1.2077,1.2868,0.705,45,spee_gun_var_280_x3,1.0681,1.1354,0.705,45,spee_gun_280_x3_a,1.0681,1.1354,0.705,45,spee_gun_280_x3_a,1.0681,1.1354,0.705,50,,,,,,,,,,,,,,,,,,,
"gun_13_x4_germany_bb,bc",,330,gun_13_x4,germany,"bb, bc",,,,,,vdt_gun_280_x4,1.2077,1.2868,0.65,45,spee_gun_280_x4_a,1.0681,1.1354,0.65,45,spee_gun_280_x4_a,1.0681,1.1354,0.65,45,spee_gun_280_x4_a,1.0681,1.1354,0.65,50,,,,,,,,,,,,,,,,,,,
"gun_14_x1_germany_bb,bc",,356,gun_14_x1,germany,"bb, bc",,,,,,vdt_gun_280_x1,1.2968,1.3759,1.13,45,spee_gun_var_280_x1,1.1454,1.2127,1.13,45,bismarck_gun_380_x1,0.9728,1.0264,1.13,45,bismarck_gun_380_x1,0.9728,1.0264,1.13,50,,,,,,,,,,,,,,,,,,,
"gun_14_x2_germany_bb,bc",,356,gun_14_x2,germany,"bb, bc",,,,,,vdt_gun_280_x2,1.2968,1.3759,0.88,45,spee_gun_var_280_x2,1.1454,1.2127,0.88,45,bismarck_gun_380_x2,0.9728,1.0264,0.88,45,bismarck_gun_380_x2,0.9728,1.0264,0.88,50,,,,,,,,,,,,,,,,,,,
"gun_14_x3_germany_bb,bc",,356,gun_14_x3,germany,"bb, bc",,,,,,vdt_gun_280_x3,1.2968,1.3759,0.705,45,spee_gun_var_280_x3,1.1454,1.2127,0.705,45,spee_gun_280_x3_a,1.1454,1.2127,0.705,45,spee_gun_280_x3_a,1.1454,1.2127,0.705,50,,,,,,,,,,,,,,,,,,,
"gun_14_x4_germany_bb,bc",,356,gun_14_x4,germany,"bb, bc",,,,,,vdt_gun_280_x4,1.2968,1.3759,0.66,45,spee_gun_280_x4_a,1.1454,1.2127,0.66,45,spee_gun_280_x4_a,1.1454,1.2127,0.66,45,spee_gun_280_x4_a,1.1454,1.2127,0.66,50,,,,,,,,,,,,,,,,,,,
"gun_15_x1_germany_bb,bc",,381,gun_15_x1,germany,"bb, bc",,,,,,vdt_gun_280_x1,1.3859,1.465,1.14,45,bismarck_gun_380_short_x1,1.131,1.1901,1.14,45,bismarck_gun_380_short_x1,1.131,1.1901,1.14,45,bismarck_gun_380_x1,1.0364,1.09,1.14,50,,,,,,,,,,,,,,,,,,,
"gun_15_x2_germany_bb,bc",,381,gun_15_x2,germany,"bb, bc",,,,,,vdt_gun_280_x2,1.3859,1.465,0.9,45,bismarck_gun_380_short_x2,1.131,1.1901,0.9,45,bismarck_gun_380_short_x2,1.131,1.1901,0.9,45,bismarck_gun_380_x2,1.0364,1.09,0.9,50,,,,,,,,,,,,,,,,,,,
"gun_15_x3_germany_bb,bc",,381,gun_15_x3,germany,"bb, bc",,,,,,vdt_gun_280_x3,1.3859,1.465,0.72,45,bismarck_gun_380_short_x3,1.131,1.1901,0.72,45,bismarck_gun_380_short_x3,1.131,1.1901,0.72,45,bismarck_gun_380_x3,1.0364,1.09,0.72,50,,,,,,,,,,,,,,,,,,,
"gun_15_x4_germany_bb,bc",,381,gun_15_x4,germany,"bb, bc",,,,,,vdt_gun_280_x4,1.3859,1.465,0.675,45,bismarck_gun_380_short_x4,1.131,1.1901,0.675,45,bismarck_gun_380_short_x4,1.131,1.1901,0.675,45,bismarck_gun_380_x4,1.0364,1.09,0.675,50,,,,,,,,,,,,,,,,,,,
"gun_16_x1_germany_bb,bc",,406,gun_16_x1,germany,"bb, bc",,,,,,vdt_gun_280_x1,1.475,1.5541,1.15,45,bismarck_gun_380_short_x1,1.2001,1.2592,1.15,45,bismarck_gun_380_short_x1,1.2001,1.2592,1.15,45,bismarck_gun_380_x1,1.1,1.1536,1.15,50,,,,,,,,,,,,,,,,,,,
"gun_16_x2_germany_bb,bc",,406,gun_16_x2,germany,"bb, bc",,,,,,vdt_gun_280_x2,1.475,1.5541,0.93,45,bismarck_gun_380_short_x2,1.2001,1.2592,0.93,45,bismarck_gun_380_short_x2,1.2001,1.2592,0.93,45,bismarck_gun_380_x2,1.1,1.1536,0.93,50,,,,,,,,,,,,,,,,,,,
"gun_16_x3_germany_bb,bc",,406,gun_16_x3,germany,"bb, bc",,,,,,vdt_gun_280_x3,1.475,1.5541,0.75,45,bismarck_gun_380_short_x3,1.2001,1.2592,0.75,45,bismarck_gun_380_short_x3,1.2001,1.2592,0.75,45,bismarck_gun_380_x3,1.1,1.1536,0.75,50,,,,,,,,,,,,,,,,,,,
"gun_16_x4_germany_bb,bc",,406,gun_16_x4,germany,"bb, bc",,,,,,vdt_gun_280_x4,1.475,1.5541,0.68,45,bismarck_gun_380_short_x4,1.2001,1.2592,0.68,45,bismarck_gun_380_short_x4,1.2001,1.2592,0.68,45,bismarck_gun_380_x4,1.1,1.1536,0.68,50,,,,,,,,,,,,,,,,,,,
"gun_17_x1_germany_bb,bc",,432,gun_17_x1,germany,"bb, bc",vdt_gun_280_x1,1.5641,1.6432,1.2,40,bismarck_gun_380_short_x1,1.2692,1.3283,1.2,45,bismarck_gun_380_short_x1,1.2692,1.3283,1.2,45,bismarck_gun_380_x1,1.1636,1.2172,1.2,45,bismarck_gun_380_x1,1.1636,1.2172,1.2,50,,,,,,,,,,,,,,,,,,,
"gun_17_x2_germany_bb,bc",,432,gun_17_x2,germany,"bb, bc",vdt_gun_280_x2,1.5641,1.6432,0.95,40,bismarck_gun_380_short_x2,1.2692,1.3283,0.95,45,bismarck_gun_380_short_x2,1.2692,1.3283,0.95,45,bismarck_gun_380_x2,1.1636,1.2172,0.95,45,bismarck_gun_380_x2,1.1636,1.2172,0.95,50,,,,,,,,,,,,,,,,,,,
"gun_17_x3_germany_bb,bc",,432,gun_17_x3,germany,"bb, bc",vdt_gun_280_x3,1.5641,1.6432,0.775,40,bismarck_gun_380_short_x3,1.2692,1.3283,0.775,45,bismarck_gun_380_short_x3,1.2692,1.3283,0.775,45,bismarck_gun_380_x3,1.1636,1.2172,0.775,45,bismarck_gun_380_x3,1.1636,1.2172,0.775,50,,,,,,,,,,,,,,,,,,,
"gun_17_x4_germany_bb,bc",,432,gun_17_x4,germany,"bb, bc",vdt_gun_280_x4,1.5641,1.6432,0.71,40,bismarck_gun_380_short_x4,1.2692,1.3283,0.71,45,bismarck_gun_380_short_x4,1.2692,1.3283,0.71,45,bismarck_gun_380_x4,1.1636,1.2172,0.71,45,bismarck_gun_380_x4,1.1636,1.2172,0.71,50,,,,,,,,,,,,,,,,,,,
"gun_18_x1_germany_bb,bc",,457,gun_18_x1,germany,"bb, bc",vdt_gun_280_x1,1.6532,1.7323,1.23,40,bismarck_gun_380_short_x1,1.3383,1.3974,1.23,45,bismarck_gun_380_short_x1,1.3383,1.3974,1.23,45,bismarck_gun_380_x1,1.2272,1.2808,1.23,45,bismarck_gun_380_x1,1.2272,1.2808,1.23,50,,,,,,,,,,,,,,,,,,,
"gun_18_x2_germany_bb,bc",,457,gun_18_x2,germany,"bb, bc",vdt_gun_280_x2,1.6532,1.7323,0.985,40,bismarck_gun_380_short_x2,1.3383,1.3974,0.985,45,bismarck_gun_380_short_x2,1.3383,1.3974,0.985,45,bismarck_gun_380_x2,1.2272,1.2808,0.985,45,bismarck_gun_380_x2,1.2272,1.2808,0.985,50,,,,,,,,,,,,,,,,,,,
"gun_18_x3_germany_bb,bc",,457,gun_18_x3,germany,"bb, bc",vdt_gun_280_x3,1.6532,1.7323,0.81,40,bismarck_gun_380_short_x3,1.3383,1.3974,0.81,45,bismarck_gun_380_short_x3,1.3383,1.3974,0.81,45,bismarck_gun_380_x3,1.2272,1.2808,0.81,45,bismarck_gun_380_x3,1.2272,1.2808,0.81,50,,,,,,,,,,,,,,,,,,,
"gun_18_x4_germany_bb,bc",,457,gun_18_x4,germany,"bb, bc",vdt_gun_280_x4,1.6532,1.7323,0.735,40,bismarck_gun_380_short_x4,1.3383,1.3974,0.735,45,bismarck_gun_380_short_x4,1.3383,1.3974,0.735,45,bismarck_gun_380_x4,1.2272,1.2808,0.735,45,bismarck_gun_380_x4,1.2272,1.2808,0.735,50,,,,,,,,,,,,,,,,,,,
"gun_19_x1_germany_bb,bc",,483,gun_19_x1,germany,"bb, bc",vdt_gun_280_x1,1.7423,1.8214,1.16,40,bismarck_gun_380_short_x1,1.4074,1.4665,1.16,45,bismarck_gun_380_short_x1,1.4074,1.4665,1.16,45,bismarck_gun_380_x1,1.2908,1.3444,1.16,45,bismarck_gun_380_x1,1.2908,1.3444,1.16,50,,,,,,,,,,,,,,,,,,,
"gun_19_x2_germany_bb,bc",,483,gun_19_x2,germany,"bb, bc",vdt_gun_280_x2,1.7423,1.8214,0.95,40,bismarck_gun_380_short_x2,1.4074,1.4665,0.95,45,bismarck_gun_380_short_x2,1.4074,1.4665,0.95,45,bismarck_gun_380_x2,1.2908,1.3444,0.95,45,bismarck_gun_380_x2,1.2908,1.3444,0.95,50,,,,,,,,,,,,,,,,,,,
"gun_19_x3_germany_bb,bc",,483,gun_19_x3,germany,"bb, bc",vdt_gun_280_x3,1.7423,1.8214,0.78,40,bismarck_gun_380_short_x3,1.4074,1.4665,0.78,45,bismarck_gun_380_short_x3,1.4074,1.4665,0.78,45,bismarck_gun_380_x3,1.2908,1.3444,0.78,45,bismarck_gun_380_x3,1.2908,1.3444,0.78,50,,,,,,,,,,,,,,,,,,,
"gun_19_x4_germany_bb,bc",,483,gun_19_x4,germany,"bb, bc",vdt_gun_280_x4,1.7423,1.8214,0.725,40,bismarck_gun_380_short_x4,1.4074,1.4665,0.725,45,bismarck_gun_380_short_x4,1.4074,1.4665,0.725,45,bismarck_gun_380_x4,1.2908,1.3444,0.725,45,bismarck_gun_380_x4,1.2908,1.3444,0.725,50,,,,,,,,,,,,,,,,,,,
"gun_20_x1_germany_bb,bc",,508,gun_20_x1,germany,"bb, bc",vdt_gun_280_x1,1.8314,1.9105,1.05,40,bismarck_gun_380_short_x1,1.4765,1.5356,1.05,45,bismarck_gun_380_short_x1,1.4765,1.5356,1.05,45,bismarck_gun_380_x1,1.3544,1.408,1.05,45,bismarck_gun_380_x1,1.3544,1.408,1.05,50,,,,,,,,,,,,,,,,,,,
"gun_20_x2_germany_bb,bc",,508,gun_20_x2,germany,"bb, bc",vdt_gun_280_x2,1.8314,1.9105,0.85,40,bismarck_gun_380_short_x2,1.4765,1.5356,0.85,45,bismarck_gun_380_short_x2,1.4765,1.5356,0.85,45,bismarck_gun_380_x2,1.3544,1.408,0.85,45,bismarck_gun_380_x2,1.3544,1.408,0.85,50,,,,,,,,,,,,,,,,,,,
"gun_20_x3_germany_bb,bc",,508,gun_20_x3,germany,"bb, bc",vdt_gun_280_x3,1.8314,1.9105,0.7,40,bismarck_gun_380_short_x3,1.4765,1.5356,0.7,45,bismarck_gun_380_short_x3,1.4765,1.5356,0.7,45,bismarck_gun_380_x3,1.3544,1.408,0.7,45,bismarck_gun_380_x3,1.3544,1.408,0.7,50,,,,,,,,,,,,,,,,,,,
"gun_20_x4_germany_bb,bc",,508,gun_20_x4,germany,"bb, bc",vdt_gun_280_x4,1.8314,1.9105,0.65,40,bismarck_gun_380_short_x4,1.4765,1.5356,0.65,45,bismarck_gun_380_short_x4,1.4765,1.5356,0.65,45,bismarck_gun_380_x4,1.3544,1.408,0.65,45,bismarck_gun_380_x4,1.3544,1.408,0.65,50,,,,,,,,,,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_2_x1_britain,,51,gun_2_x1,britain,,,,,,,richelieu_gun_120_x1,0.5,0.68,0.92,50,richelieu_gun_120_x1,0.5,0.68,0.92,55,richelieu_gun_120_x1,0.5,0.68,0.92,55,richelieu_gun_120_x1,0.5,0.68,0.92,60,,,,,,,,,,,,,,,,,,,
gun_2_x2_britain,,51,gun_2_x2,britain,,,,,,,richelieu_gun_120_x2,0.5,0.68,0.7,50,richelieu_gun_120_x2,0.5,0.68,0.7,55,richelieu_gun_120_x2,0.5,0.68,0.7,55,richelieu_gun_120_x2,0.5,0.68,0.7,60,,,,,,,,,,,,,,,,,,,
gun_2_x3_britain,,51,gun_2_x3,britain,,,,,,,richelieu_gun_120_x3,0.5,0.68,0.55,50,richelieu_gun_120_x3,0.5,0.68,0.55,55,richelieu_gun_120_x3,0.5,0.68,0.55,55,richelieu_gun_120_x3,0.5,0.68,0.55,60,,,,,,,,,,,,,,,,,,,
gun_2_x4_britain,,51,gun_2_x4,britain,,,,,,,richelieu_gun_120_x4,0.596,0.722,0.55,50,richelieu_gun_120_x4,0.596,0.722,0.55,55,richelieu_gun_120_x4,0.596,0.722,0.55,55,richelieu_gun_120_x4,0.596,0.722,0.55,60,,,,,,,,,,,,,,,,,,,
gun_3_x1_britain_dd,,76,gun_3_x1,britain,"dd, tb",,,,,,richelieu_gun_120_x1,0.634,0.806,1,50,richelieu_gun_120_x1,0.634,0.806,1,55,richelieu_gun_120_x1,0.634,0.806,1,55,richelieu_gun_120_x1,0.634,0.806,1,55,,,,,,,,,,,,,,,,,,,
gun_3_x2_britain_dd,,76,gun_3_x2,britain,"dd, tb",,,,,,richelieu_gun_120_x2,0.718,0.912,1.08,50,richelieu_gun_120_x2,0.718,0.912,1.08,55,richelieu_gun_120_x2,0.718,0.912,1.08,55,richelieu_gun_120_x2,0.718,0.912,1.08,55,,,,,,,,,,,,,,,,,,,
gun_3_x3_britain_dd,,76,gun_3_x3,britain,"dd, tb",,,,,,richelieu_gun_120_x3,0.718,0.912,0.83,50,richelieu_gun_120_x3,0.718,0.912,0.83,55,richelieu_gun_120_x3,0.718,0.912,0.83,55,richelieu_gun_120_x3,0.718,0.912,0.83,55,,,,,,,,,,,,,,,,,,,
gun_3_x4_britain_dd,,76,gun_3_x4,britain,"dd, tb",,,,,,richelieu_gun_120_x4,0.732,0.858,0.83,50,richelieu_gun_120_x4,0.732,0.858,0.83,55,richelieu_gun_120_x4,0.732,0.858,0.83,55,richelieu_gun_120_x4,0.732,0.858,0.83,55,,,,,,,,,,,,,,,,,,,
gun_4_x1_britain_dd,,102,gun_4_x1,britain,"dd, tb",,,,,,,,,,,,,,,,akizuki_gun_b_127_x1,0.646,0.7805,1.7,55,akizuki_gun_b_127_x1,0.646,0.7805,1.7,55,,,,,,,,,,,,,,,,,,,
gun_4_x2_britain_dd,,102,gun_4_x2,britain,"dd, tb",,,,,,dreadnought_gun_178_x2,0.868,0.994,1.28,50,dreadnought_gun_178_x2,0.868,0.994,1.28,55,dido_gun_cal133_x2,0.868,0.994,1.28,55,dido_gun_cal133_x2,0.868,0.994,1.28,55,,,,,,,,,,,,,,,,,,,
gun_4_x3_britain_dd,,102,gun_4_x3,britain,"dd, tb",,,,,,dreadnought_gun_178_x3,0.868,0.994,1,50,dreadnought_gun_178_x3,0.868,0.994,1,55,dido_gun_cal133_x3,0.868,0.994,1,55,dido_gun_cal133_x3,0.868,0.994,1,55,,,,,,,,,,,,,,,,,,,
gun_4_x4_britain_dd,,102,gun_4_x4,britain,"dd, tb",,,,,,dreadnought_gun_178_x4,0.868,0.994,0.85,50,dreadnought_gun_178_x4,0.868,0.994,0.85,55,dido_gun_cal133_x4,0.868,0.994,0.85,55,dido_gun_cal133_x4,0.868,0.994,0.85,55,,,,,,,,,,,,,,,,,,,
gun_5_x1_britain_dd,,127,gun_5_x1,britain,"dd, tb",,,,,,,,,,,,,,,,akizuki_gun_b_127_x1,0.8005,0.935,1.25,55,akizuki_gun_b_127_x1,0.8005,0.935,1.25,55,,,,,,,,,,,,,,,,,,,
gun_5_x2_britain_dd,,127,gun_5_x2,britain,"dd, tb",,,,,,dreadnought_gun_178_x2,1.004,1.13,0.95,50,dreadnought_gun_178_x2,1.004,1.13,0.95,55,dido_gun_cal133_x2,1.004,1.13,0.95,55,dido_gun_cal133_x2,1.004,1.13,0.95,55,,,,,,,,,,,,,,,,,,,
gun_5_x3_britain_dd,,127,gun_5_x3,britain,"dd, tb",,,,,,dreadnought_gun_178_x3,1.004,1.13,0.75,50,dreadnought_gun_178_x3,1.004,1.13,0.75,55,dido_gun_cal133_x3,1.004,1.13,0.75,55,dido_gun_cal133_x3,1.004,1.13,0.75,55,,,,,,,,,,,,,,,,,,,
gun_5_x4_britain_dd,,127,gun_5_x4,britain,"dd, tb",,,,,,dreadnought_gun_178_x4,1.004,1.13,0.68,50,dreadnought_gun_178_x4,1.004,1.13,0.68,55,dido_gun_cal133_x4,1.004,1.13,0.68,55,dido_gun_cal133_x4,1.004,1.13,0.68,55,,,,,,,,,,,,,,,,,,,
gun_3_x1_britain_cl,,76,gun_3_x1,britain,cl,,,,,,richelieu_gun_120_x1,0.5,0.68,0.92,50,richelieu_gun_120_x1,0.5,0.68,0.92,55,richelieu_gun_120_x1,0.5,0.68,0.92,55,richelieu_gun_120_x1,0.5,0.68,0.92,55,,,,,,,,,,,,,,,,,,,
gun_3_x2_britain_cl,,76,gun_3_x2,britain,cl,,,,,,richelieu_gun_120_x2,0.5,0.68,0.7,50,richelieu_gun_120_x2,0.5,0.68,0.7,55,richelieu_gun_120_x2,0.5,0.68,0.7,55,richelieu_gun_120_x2,0.5,0.68,0.7,55,,,,,,,,,,,,,,,,,,,
gun_3_x3_britain_cl,,76,gun_3_x3,britain,cl,,,,,,richelieu_gun_120_x3,0.5,0.68,0.55,50,richelieu_gun_120_x3,0.5,0.68,0.55,55,richelieu_gun_120_x3,0.5,0.68,0.55,55,richelieu_gun_120_x3,0.5,0.68,0.55,55,,,,,,,,,,,,,,,,,,,
gun_3_x4_britain_cl,,76,gun_3_x4,britain,cl,,,,,,richelieu_gun_120_x4,0.732,0.858,0.83,50,richelieu_gun_120_x4,0.732,0.858,0.83,55,richelieu_gun_120_x4,0.732,0.858,0.83,55,richelieu_gun_120_x4,0.732,0.858,0.83,55,,,,,,,,,,,,,,,,,,,
gun_4_x1_britain_cl,,102,gun_4_x1,britain,cl,,,,,,,,,,,,,,,,hood_gun_140_x1,0.868,0.994,1.7,55,hood_gun_140_x1,0.868,0.994,1.7,55,,,,,,,,,,,,,,,,,,,
gun_4_x2_britain_cl,,102,gun_4_x2,britain,cl,,,,,,dreadnought_gun_178_x2,0.868,0.994,1.28,50,dreadnought_gun_178_x2,0.868,0.994,1.28,55,dido_gun_cal133_x2,0.868,0.994,1.28,55,dido_gun_cal133_x2,0.868,0.994,1.28,55,,,,,,,,,,,,,,,,,,,
gun_4_x3_britain_cl,,102,gun_4_x3,britain,cl,,,,,,dreadnought_gun_178_x3,0.868,0.994,1,50,dreadnought_gun_178_x3,0.868,0.994,1,55,dido_gun_cal133_x3,0.868,0.994,1,55,dido_gun_cal133_x3,0.868,0.994,1,55,,,,,,,,,,,,,,,,,,,
gun_4_x4_britain_cl,,102,gun_4_x4,britain,cl,,,,,,dreadnought_gun_178_x4,0.868,0.994,0.85,50,dreadnought_gun_178_x4,0.868,0.994,0.85,55,dido_gun_cal133_x4,0.868,0.994,0.85,55,dido_gun_cal133_x4,0.868,0.994,0.85,55,,,,,,,,,,,,,,,,,,,
gun_5_x1_britain_cl,,127,gun_5_x1,britain,cl,,,,,,,,,,50,,,,,,hood_gun_140_x1,1.004,1.13,1.25,55,hood_gun_140_x1,1.004,1.13,1.25,55,,,,,,,,,,,,,,,,,,,
gun_5_x2_britain_cl,,127,gun_5_x2,britain,cl,,,,,,dreadnought_gun_178_x2,1.004,1.13,0.95,50,dreadnought_gun_178_x2,1.004,1.13,0.95,55,dido_gun_cal133_x2,1.004,1.13,0.95,55,dido_gun_cal133_x2,1.004,1.13,0.95,55,,,,,,,,,,,,,,,,,,,
gun_5_x3_britain_cl,,127,gun_5_x3,britain,cl,,,,,,dreadnought_gun_178_x3,1.004,1.13,0.75,50,dreadnought_gun_178_x3,1.004,1.13,0.75,55,dido_gun_cal133_x3,1.004,1.13,0.75,55,dido_gun_cal133_x3,1.004,1.13,0.75,55,,,,,,,,,,,,,,,,,,,
gun_5_x4_britain_cl,,127,gun_5_x4,britain,cl,,,,,,dreadnought_gun_178_x4,1.004,1.13,0.68,50,dreadnought_gun_178_x4,1.004,1.13,0.68,55,dido_gun_cal133_x4,1.004,1.13,0.68,55,dido_gun_cal133_x4,1.004,1.13,0.68,55,,,,,,,,,,,,,,,,,,,
gun_6_x1_britain_cl,,152,gun_6_x1,britain,cl,,,,,,,,,,,,,,,,hood_gun_140_x1,1.14,1.266,1.185,50,hood_gun_140_x1,1.14,1.266,1.185,50,,,,,,,,,,,,,,,,,,,
gun_6_x2_britain_cl,,152,gun_6_x2,britain,cl,,,,,,dreadnought_gun_178_x2,1.14,1.266,0.86,45,dreadnought_gun_178_x2,1.14,1.266,0.86,50,dido_gun_cal133_x2,1.14,1.266,0.86,50,british_adv_cruiser_152_gun_x2,0.71,0.809,0.86,50,,,,,,,,,,,,,,,,,,,
gun_6_x3_britain_cl,,152,gun_6_x3,britain,cl,,,,,,dreadnought_gun_178_x3,1.14,1.266,0.66,45,dreadnought_gun_178_x3,1.14,1.266,0.66,50,dido_gun_cal133_x3,1.14,1.266,0.66,50,british_adv_cruiser_152_gun_x3,0.71,0.809,0.66,50,,,,,,,,,,,,,,,,,,,
gun_6_x4_britain_cl,,152,gun_6_x4,britain,cl,,,,,,dreadnought_gun_178_x4,1.14,1.266,0.6,45,dreadnought_gun_178_x4,1.14,1.266,0.6,50,dido_gun_cal133_x4,1.14,1.266,0.6,50,british_adv_cruiser_152_gun_x4,0.71,0.809,0.6,50,,,,,,,,,,,,,,,,,,,
gun_3_x1_britain_ca,,76,gun_3_x1,britain,"ca, bb, bc",,,,,,pen_gun_127_x1,0.815,1.04,1.45,50,hood_gun_140_x1,0.732,0.858,1.45,55,hood_gun_140_x1,0.732,0.858,1.45,55,hood_gun_140_x1,0.732,0.858,1.45,55,,,,,,,,,,,,,,,,,,,
gun_3_x2_britain_ca,,76,gun_3_x2,britain,"ca, bb, bc",pen_gun_127_x2,0.815,1.04,1.08,45,pen_gun_127_x2,0.815,1.04,1.08,50,hood_gun_140_x2,0.732,0.858,1.08,55,hood_gun_140_x2,0.732,0.858,1.08,55,dido_gun_cal133_x2,0.868,0.994,1.28,55,,,,,,,,,,,,,,,,,,,
gun_3_x3_britain_ca,,76,gun_3_x3,britain,"ca, bb, bc",pen_gun_127_x3,0.815,1.04,0.83,45,pen_gun_127_x3,0.815,1.04,0.83,50,hood_gun_140_x3,0.732,0.858,0.83,55,hood_gun_140_x3,0.732,0.858,0.83,55,dido_gun_cal133_x3,0.868,0.994,1,55,,,,,,,,,,,,,,,,,,,
gun_3_x4_britain_ca,,76,gun_3_x4,britain,"ca, bb, bc",,,,,,,,,,,,,,,,dido_gun_cal133_x4,0.868,0.994,0.85,55,dido_gun_cal133_x4,0.868,0.994,0.85,55,,,,,,,,,,,,,,,,,,,
gun_4_x1_britain_ca,,102,gun_4_x1,britain,"ca, bb, bc",,,,,,pen_gun_127_x1,1.06,1.285,1.7,50,hood_gun_140_x1,0.868,0.994,1.7,55,hood_gun_140_x1,0.868,0.994,1.7,55,hood_gun_140_x1,0.868,0.994,1.7,55,,,,,,,,,,,,,,,,,,,
gun_4_x2_britain_ca,,102,gun_4_x2,britain,"ca, bb, bc",pen_gun_127_x2,1.06,1.285,1.28,45,pen_gun_127_x2,1.06,1.285,1.28,50,hood_gun_140_x2,0.868,0.994,1.28,55,hood_gun_140_x2,0.868,0.994,1.28,55,dido_gun_cal133_x2,1.004,1.13,0.95,55,,,,,,,,,,,,,,,,,,,
gun_4_x3_britain_ca,,102,gun_4_x3,britain,"ca, bb, bc",pen_gun_127_x3,1.06,1.285,1,45,pen_gun_127_x3,1.06,1.285,1,50,hood_gun_140_x3,0.868,0.994,1,55,hood_gun_140_x3,0.868,0.994,1,55,dido_gun_cal133_x3,1.004,1.13,0.75,55,,,,,,,,,,,,,,,,,,,
gun_4_x4_britain_ca,,102,gun_4_x4,britain,"ca, bb, bc",,,,,,,,,,,,,,,,dido_gun_cal133_x4,1.004,1.13,0.68,55,dido_gun_cal133_x4,1.004,1.13,0.68,55,,,,,,,,,,,,,,,,,,,
gun_5_x1_britain_ca,,127,gun_5_x1,britain,"ca, bb, bc",tsesarevich_gun_152_x1,0.8005,0.935,1.25,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_5_x2_britain_ca,,127,gun_5_x2,britain,"ca, bb, bc",tsesarevich_gun_152_x2,0.8005,0.935,0.95,45,dreadnought_gun_178_x2,1.004,1.13,0.95,50,kgeorge_gun_133_x2,0.602,0.71,0.95,55,dido_gun_cal133_x2,1.004,1.13,0.95,55,dido_gun_cal133_x2,1.14,1.266,0.86,55,,,,,,,,,,,,,,,,,,,
gun_5_x3_britain_ca,,127,gun_5_x3,britain,"ca, bb, bc",tsesarevich_gun_152_x3,0.8005,0.935,0.75,45,dreadnought_gun_178_x3,1.004,1.13,0.75,50,kgeorge_gun_133_x3,0.602,0.71,0.75,55,dido_gun_cal133_x3,1.004,1.13,0.75,55,dido_gun_cal133_x3,1.14,1.266,0.66,55,,,,,,,,,,,,,,,,,,,
