# Index,Enabled,Part ID,Mount Rotation,Position,Mount Position Type,Valid Part Types,Min Caliber,Max Caliber,Min Barrel #,Max Barrel #,Collision Checks,Left Fire Angle Override,Right Fire Angle Override,Orient Fire Arc?,Rotate Same?,# Comment 1,# Comment 2
#,,,(0-360),"(x: +Starboard/-Port, y: +Up/-Down, z: Fore/Aft)","(any, center, side)",See Comment,"in, 0 = all","in, 0 = all",0 = all,0 = all,See Comment,See Comment,See Comment,fore/aft or starboard/port. No clue what it does.,1=true/0=false. No clue what it does.,,
@index,enabled,parent,rotation,position,mount_pos_type,accepts,caliber_min,caliber_max,barrels_min,barrels_max,collision,angle_left,angle_right,orientation,rotate_same,,
25,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -42.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
26,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -41.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
27,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -40.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
28,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -39.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
29,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -38.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
30,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -37.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
31,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -36.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
32,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -35.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
33,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -15.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
34,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -14.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
35,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -13.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
36,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -12.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
37,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -11.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
38,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -10.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
39,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -9.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
40,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -8.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
41,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -7.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
42,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -6.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
43,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -5.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
44,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -50.0000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
45,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -49.5000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
46,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -49.0000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
47,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -48.5000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
48,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -48.0000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
49,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -47.5000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
50,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -47.0000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
51,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -46.5000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
52,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -46.0000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
53,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -45.5000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
54,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -45.0000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
55,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -24.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
56,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -23.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
57,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -22.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
58,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -21.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
59,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -19.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
60,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -18.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
61,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -17.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
62,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -16.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
63,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -15.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
64,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -14.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
65,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -13.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
-1,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -12.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
-1,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -11.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
-1,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -10.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
66,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -35.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
67,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -34.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
68,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -33.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
69,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -32.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
70,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -31.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
71,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -30.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
72,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -29.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
73,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -28.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
74,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -27.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
75,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -26.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
76,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -25.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
77,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -14.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
78,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -13.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
79,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -12.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
80,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -11.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
81,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -10.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
82,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -9.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
83,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -8.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
84,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -7.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
85,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -6.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
86,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -5.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
87,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -4.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
88,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -44.5000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
89,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -44.0000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
90,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -43.5000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
91,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -43.0000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
92,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -42.5000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
93,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -42.0000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
94,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -41.5000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
95,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -41.0000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
96,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -40.5000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
97,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -40.0000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
98,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -39.5000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
99,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -9.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
100,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -9.0000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
101,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -8.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
102,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -8.0000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
103,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -7.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
104,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -7.0000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
105,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -6.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
106,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -6.0000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
107,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -5.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
108,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -5.0000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
109,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -4.5000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
110,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -25.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
111,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -24.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
112,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -23.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
113,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -22.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
114,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -21.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
115,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -20.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
116,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -19.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
117,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -18.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
118,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -17.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
119,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -16.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
120,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -15.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,1,,
121,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -3.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
122,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -2.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
123,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, -1.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
124,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, 0.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
125,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, 1.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
126,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, 2.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
127,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, 3.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
128,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, 4.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
129,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, 5.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
130,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, 6.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
131,,brooklyn_hull_c/Visual/Sections/Stern,0,"(0.0000, 6.5700, 7.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
132,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -39.0000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
133,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -38.5000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
134,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -38.0000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
135,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -37.5000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
136,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -37.0000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
137,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -36.5000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
138,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -36.0000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
139,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -36.5000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
140,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -35.0000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
141,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -35.5000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
142,,brooklyn_hull_c/Visual/Sections/Stern,180,"(0.0000, 6.5700, -34.0000)",center,barbette,6,,,,"ignore_collision_check,ignore_parent",,,,1,,
# brooklyn_hull_c/Visual/Sections,,,,,,,,,,,,,,,,,
1,,brooklyn_hull_c/Visual/Sections/Middle4,330,"(-8.8800, 6.5700, -10.0000)",side,barbette,4,6,,,"ignore_collision_check,ignore_parent",,,,1,,
2,,brooklyn_hull_c/Visual/Sections/Middle4,30,"(8.8800, 6.5700, -10.0000)",side,barbette,4,6,,,"ignore_collision_check,ignore_parent",,,,1,,
-1,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(-8.8800, 6.5700, -20.0000)",,deck_torpedo,,,,,"ignore_collision_check,ignore_parent",,,,1,,
-1,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(8.8800, 6.5700, -20.0000)",,deck_torpedo,,,,,"ignore_collision_check,ignore_parent",,,,1,,
3,,brooklyn_hull_c/Visual/Sections/Middle4,180,"(0.0000, 6.5700, -15.0000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
4,,brooklyn_hull_c/Visual/Sections/Middle4,180,"(0.0000, 6.5700, -14.0000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
5,,brooklyn_hull_c/Visual/Sections/Middle4,180,"(0.0000, 6.5700, -13.0000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
6,,brooklyn_hull_c/Visual/Sections/Middle4,180,"(0.0000, 6.5700, -12.0000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
7,,brooklyn_hull_c/Visual/Sections/Middle4,180,"(0.0000, 6.5700, -11.0000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
8,,brooklyn_hull_c/Visual/Sections/Middle4,180,"(0.0000, 6.5700, -10.0000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
9,,brooklyn_hull_c/Visual/Sections/Middle4,180,"(0.0000, 6.5700, -9.0000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
10,,brooklyn_hull_c/Visual/Sections/Middle4,180,"(0.0000, 6.5700, -8.0000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
11,,brooklyn_hull_c/Visual/Sections/Middle4,180,"(0.0000, 6.5700, -7.0000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
12,,brooklyn_hull_c/Visual/Sections/Middle4,180,"(0.0000, 6.5700, -6.0000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
13,,brooklyn_hull_c/Visual/Sections/Middle4,180,"(0.0000, 6.5700, -5.0000)",,tower_sec,,,,,"ignore_collision_check,ignore_parent",,,,1,,
14,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -15.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,,,
15,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -14.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,,,
16,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -13.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,,,
17,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -12.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,,,
18,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -11.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,,,
19,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -10.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,,,
20,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -9.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,,,
21,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -8.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,,,
22,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -7.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,,,
23,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -6.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,,,
24,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -5.0000)",,si_barbette,,,,,"ignore_collision_check,ignore_parent",,,,,,
25,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -15.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
26,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -14.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
27,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -13.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
28,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -12.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
29,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -11.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
30,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -10.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
31,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -9.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
32,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -8.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
33,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -7.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
34,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -6.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
35,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, -5.0000)",,funnel,,,,,"ignore_collision_check,ignore_parent",,,,1,,
36,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, 5.0000)",,tower_main,,,,,"ignore_collision_check,ignore_parent",,,,,,
37,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, 4.0000)",,tower_main,,,,,"ignore_collision_check,ignore_parent",,,,,,
38,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, 3.0000)",,tower_main,,,,,"ignore_collision_check,ignore_parent",,,,,,
39,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, 2.0000)",,tower_main,,,,,"ignore_collision_check,ignore_parent",,,,,,
40,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, 1.0000)",,tower_main,,,,,"ignore_collision_check,ignore_parent",,,,,,
41,,brooklyn_hull_c/Visual/Sections/Middle4,0,"(0.0000, 6.5700, 0.0000)",,tower_main,,,,,"ignore_collision_check,ignore_parent",,,,,,
