#id,enabled / disabled,name for ui,area id,who currently controls provice,,,,,,,original claim on province,is home province?,"type of province: home, country, colony (autogenerated)",position,position,url for google maps,economic development / value (0-10),port size (tonnage),population will be used for some military and economic calculations,,,,,,,,,The starting Defense Level of the province which will affect Naval Invasion Defense and Port Defense battles. When empty it is considered zero.,AI Nations that may trigger an attack mission on that province,Nations that may intervent to protect the province,If sea region is not properly supported the region may rebel according to this probability,Probability tha will be used for triggering the start of a battle,Minimum tonnage needed for supporting an attack to this province,If player attacks the province it may have a defending fleet autogenerated from this displacement value (Works only for neutral countries),comment,
@name,enabled,nameUi,area,controller,controller_1890,controller_1900,controller_1910,controller_1920,controller_1930,controller_1940,claim,isHome,type,latitude,longitude,#posLink,development,port,population,oilDiscoveryYear,oilDiscoveryBaseChance,oilCapacity,oilReservesInTurns,revoltChance,provinceArmyPercentage,ProvinceDefenderBonus,neighbour_provinces,#Naval_Defense_Level,#Enemies,#Protectors,#Rebellion_Chance,#Naval_Invasion_Chance,#Min_Naval_Invasion_Displacement,#AverageFleetStrength,#comment,#comment2
french_antilles,,French Antilles,caribbean,antilles,antilles,antilles,antilles,antilles,antilles,antilles,antilles,,,15.664492,-61.836848,French Antilles,4,15000,52000,,,,,7,,,,,,,,,,,,
french_guiana,,French Guiana,caribbean,french_guiana,french_guiana,french_guiana,french_guiana,french_guiana,french_guiana,french_guiana,french_guiana,,,4.045842,-53.223442,French Guiana,3,20000,24000,,,,,,,,"suriname, north_brazil",,,,,,,,,
french_guinea,,French Guinea,c_atlantic,cayenne,cayenne,cayenne,cayenne,cayenne,cayenne,cayenne,cayenne,,,10.414074,-10.032578,French Guinea,5.9,14000,1459000,,,,,7,,,"sierra_leone, french_sudan, ivory_coast, portuguese_guinea, senegal, liberia",,,,,,,,,
french_polynesia,,French Polynesia,s_pacific,french_polynesia,french_polynesia,french_polynesia,french_polynesia,french_polynesia,french_polynesia,french_polynesia,french_polynesia,,,-16.561735,-147.945884,French Polynesia,1.75,3000,30000,,,,,,,,,,,,,,,,,
french_sudan,,French Sudan,c_atlantic,mali,mali,mali,mali,mali,mali,mali,mali,,,17.767555,-1.903396,French Sudan,4,0,2672000,,,,,7,,,"southern_algeria, mauritania, senegal, french_guinea, ivory_coast, upper_volta, niger",,,,,,,,,
gabon,,Gabon,w_africa,gabon,gabon,gabon,gabon,gabon,gabon,gabon,gabon,,,-0.725298,11.767754,Gabon,3.7,4000,240000,,,,,7,,,"middle_congo, equatorial_guinea, cameroon",,,,,,,,,
galápagos_islands,,Galápagos Islands,s_am_west,ecuador,ecuador,ecuador,ecuador,ecuador,ecuador,ecuador,ecuador,,country,-0.499772,-90.608825,Galápagos Islands,0.1,3000,3500,,,,,,,,,,,,,,,,,
galicia,,Galicia,adriatic,austria,austria,austria,austria,slovakia,slovakia,slovakia,slovakia,1,home,48.8275207,19.93953992,Galicia,17.5,180000,5600000,1893,55,100,320,,,3,"eastern_poland, bohemia-moravia, austria, hungary, ukraine",,,,,,,,,
gambia,,Gambia,c_atlantic,gambia,gambia,gambia,gambia,gambia,gambia,gambia,gambia,,,13.488221,-14.745328,Gambia,3,6000,165000,,,,,7,,,senegal,,,,,,,,,
georgia,,Georgia,b_sea,russia,russia,russia,russia,georgia,russia,russia,georgia,1,home,42.20099357,43.44215947,Georgia,3,90000,2150000,1930,1,100,100,7,,,"southern_russia, armenia, azerbaijan, northern_turkey, eastern_turkey",,,,,,,,,
german_new_guinea,,German New Guinea,oceania_north,australia,australia,australia,australia,australia,australia,australia,australia,,,-6.377619,148.396399,German New Guinea,5,15000,188000,1911,6,400,200,,,,"territory_of_papua, dutch_new_guinea",,,,,,,,,
gibraltar,,Gibraltar,medit2,gibraltar,gibraltar,gibraltar,gibraltar,gibraltar,gibraltar,gibraltar,gibraltar,,,35.5,-5.245375,Gibraltar,0.4,35000,29000,,,,,,,,southern_spain,,,,,,,,,
gold_coast,,Gold Coast,w_africa,ghana,ghana,ghana,ghana,ghana,ghana,ghana,ghana,,,7.07992,-1.529502,Gold Coast,5.8,12000,1486400,,,,,7,,,"upper_volta, ivory_coast, togoland",,,,,,,,,
grand_bahama,,Grand Bahama,caribbean,grand_bahama,grand_bahama,grand_bahama,grand_bahama,grand_bahama,grand_bahama,grand_bahama,grand_bahama,,,26.507748,-76.922083,Grand Bahama,5,15000,55000,,,,,7,,,,,,,,,,,,
guam,,Guam,philip_sea,guam,guam,guam,guam,guam,guam,guam,guam,,,13.082432,144.649024,Guam,0.5,20000,12000,,,,,,0.025,,,,,,,,,,,
guantanamo,,Guantanamo,caribbean,cuba,cuba,cuba,cuba,cuba,cuba,cuba,cuba,,,20.379018,-74.862799,Guantanamo,0.1,25000,35000,,,,,7,,,cuba,,,,,,,,,
gulf_coast,,Gulf Coast,mex_coast,usa,usa,usa,usa,usa,usa,usa,usa,1,home,30.646982,-92.777504,Gulf Coast,12,100000,15623501,1900,10,1750,1000,7,,,"western_mexico, northeast_mexico, western_usa, central_usa, southeastern_seaboard",,,,,,,,,
haiti,,Haiti,caribbean,haiti,haiti,haiti,haiti,haiti,haiti,haiti,haiti,,country,19.039949,-72.348068,Haiti,4,3000,1347000,,,,,7,,,dominican_republic,,,,,,,,,
hawaii,,Hawaii,s_pacific,hawaii,hawaii,hawaii,hawaii,hawaii,hawaii,hawaii,hawaii,,country,20.638978,-157.612051,Hawaii,1,20000,154000,,,,,,,,,,,,,,,,,
hejaz,,Hejaz,red_sea,ottoman,ottoman,ottoman,ottoman,arabia,arabia,arabia,arabia,,,25.449132,38.204411,Hejaz,5,20000,1350000,1935,1,500,1000,15,0.015,,"arabia, transjordania, yemen",,,,,,,,,
heligoland,,Heligoland,n_sea,heligoland,heligoland,heligoland,heligoland,heligoland,heligoland,heligoland,heligoland,,,54.20443449,7.884719939,Heligoland,1,25000,1000,,,,,,,3,,,,,,,,,,
honduras,,Honduras,caribbean,honduras,honduras,honduras,honduras,honduras,honduras,honduras,honduras,,country,14.816253,-87.061349,Honduras,3.5,3000,543700,,,,,7,,,"british_honduras, nicaragua, el_salvador",,,,,,,,,
hong_kong,,Hong Kong,se_asia,china,china,china,china,china,china,china,china,1,home,22.717749,114.120168,Hong Kong,4,60000,320000,,,,,,,,southern_china,,,,,,,,,
hungary,,Hungary,adriatic,austria,austria,austria,austria,austria,austria,austria,hungary,1,home,47.2913612,19.37673089,Hungary,25.5,180000,11500000,,,,,7,,3,"austria, galicia, slovenia, croatia, serbia, romania, ukraine",,,,,,,,,
iceland,,Iceland,denmark_strait,denmark,denmark,denmark,denmark,iceland,iceland,iceland,iceland,,,64.159992,-18.399728,Iceland,2,8000,82000,1925,2,300,100,,,,,,,,,,,,,
iraq,,Iraq,persian_gulf,iraq,iraq,iraq,iraq,iraq,iraq,iraq,iraq,,,33.090417,43.064089,Iraq,6.8,13000,3750000,1910,25,3500,2000,7,0.033,,"eastern_turkey, syria, transjordania, arabia, kuwait, persia",,,,,,,,,
ireland,,Ireland,irish_sea,britain,britain,britain,britain,britain,britain,britain,ireland,1,home,53.16856567,-7.765547265,Ireland,19,55000,2415000,,,,,15,0.03,,northern_ireland,,,,,,,,,
italian_somaliland,,Italian Somaliland,indian_west,somalia,somalia,somalia,somalia,somalia,somalia,somalia,somalia,,,4.447033,45.876953,Italian Somaliland,3,1000,400000,1930,3,400,100,,,,"british_somaliland, ethiopia, british_east_africa",,,,,,,,,
ivory_coast,,Ivory Coast,w_africa,ivory_coast,ivory_coast,ivory_coast,ivory_coast,ivory_coast,ivory_coast,ivory_coast,ivory_coast,,,7.319216,-5.616286,Ivory Coast,6,17000,1355000,1930,4,175,75,7,,,"gold_coast, liberia, french_guinea, french_sudan, upper_volta",,,,,,,,,
jamaica,,Jamaica,caribbean,jamaica,jamaica,jamaica,jamaica,jamaica,jamaica,jamaica,jamaica,,,18.380326,-77.331687,Jamaica,5,7000,720000,,,,,7,,,,,,,,,,,,
java,,Java,indonesian_sea,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,,,-7.420237,110.486641,Java,7.5,35000,29767662,1890,100,500,500,,,,timor,,,,,,,,,
kamchatka,,Kamchatka,ne_asia,kamchatka,kamchatka,kamchatka,kamchatka,kamchatka,kamchatka,kamchatka,kamchatka,,,56.404092,159.532245,Kamchatka,4,30000,75000,1925,2,300,100,7,,,"southern_siberia, eastern_siberia",,,,,,,,,
kashmir,,Kashmir,benghal_sea,sikh,sikh,sikh,sikh,sikh,sikh,sikh,sikh,,,33.56963084,75.97194508,Kashmir,3.5,0,2600000,1930,5,700,200,,,,"pakistan, northern_india, tibet, xinjiang, afghanistan",,,,,,,,,
kazakhstan,,Kazakhstan,arabian_sea,kazakhstan,kazakhstan,kazakhstan,kazakhstan,kazakhstan,kazakhstan,kazakhstan,kazakhstan,,,48.09006615,67.12792885,Kazakhstan,5.5,0,5155765,1897,15,650,2000,10,,3,"central_russia, xinjiang, southern_russia, siberian_russia, uzbekistan, kyrgyzstan, turkmenistan",,,,,,,,,
kerguelen_islands,,Kerguelen Islands,indian_south,taaf,taaf,taaf,taaf,taaf,taaf,taaf,taaf,,,-48.714694,69.459645,Kerguelen Islands,0.1,3000,100,1930,4,200,100,,,,,,,,,,,,,
kiautschou_bay,,Kiautschou Bay,yellow_sea,china,china,china,china,china,china,china,china,1,home,36.514348,119.802227,Kiautschou Bay,4,30000,50750,1925,2,30,100,7,,,northeast_china,,,,,,,,,
kosovo,,Kosovo,adriatic,ottoman,ottoman,ottoman,ottoman,serbia,serbia,serbia,serbia,,,42.50891299,20.89857987,Kosovo,2,0,245000,,,,,7,0.02,2.5,"serbia, albania, montenegro, central_balkans",,,,,,,,,
kuwait,,Kuwait,persian_gulf,kuwait,kuwait,kuwait,kuwait,kuwait,kuwait,kuwait,kuwait,,,28.706483,47.14352,Kuwait,3.5,20000,40000,1930,10,2500,2000,,0.033,,"iraq, arabia",,,,,,,,,
kwang-chou-wan,,Kwang-Chou-Wan,se_asia,china,china,china,china,china,china,china,china,1,home,20.449693,110.123565,Kwang-Chou-Wan,5,15000,185000,,,,,,,,southern_china,,,,,,,,,
kyrgyzstan,,Kyrgyzstan,arabian_sea,kyrgyzstan,kyrgyzstan,kyrgyzstan,kyrgyzstan,kyrgyzstan,kyrgyzstan,kyrgyzstan,kyrgyzstan,,,41.3642223,74.56679829,Kyrgyzstan,2,0,2468177,1910,10,200,100,10,,3,"kazakhstan, uzbekistan, tajikistan, xinjiang",,,,,,,,,
kyushu,,Kyushu,east_asia,japan,japan,japan,japan,japan,japan,japan,japan,1,home,32.5818111,131.0605654,Kyushu,3,145000,5074000,,,,,7,,3,south_honshu,,,,,,,,,
laos,,Laos,se_asia,laos,laos,laos,laos,laos,laos,laos,laos,,country,19.580202,102.464176,Laos,2.7,0,473000,,,,,10,0.03,3,"tonkin, southern_china, burma, thailand, annam, cambodia",,,,,,,,,
latvia,,Latvia,baltic,russia,russia,russia,russia,latvia,latvia,latvia,latvia,1,home,56.236488,26.11863,Latvia,3,120000,1355000,,,,,5,0.03,,"esthonia, central_russia, belarus, lithuania",,,,,,,,,
lebanon,,Lebanon,medit,lebanon,lebanon,lebanon,lebanon,lebanon,lebanon,lebanon,lebanon,,,34.401035,35.959823,Lebanon,3,15000,550000,,,,,7,,3,"syria, palestine",,,,,,,,,
liaodong_peninsula,,Liaodong Peninsula,yellow_sea,china,china,china,china,china,china,china,china,1,home,39.9,122.5,Liaodong Peninsula,4.5,45000,1950000,,,,,7,,,"northwest_korea, northeast_korea, manchuria, northeast_china, northern_china",,,,,,,,,
liberia,,Liberia,c_atlantic,liberia,liberia,liberia,liberia,liberia,liberia,liberia,liberia,,country,6.109599,-9.169931,Liberia,4,3000,641000,1930,4,175,75,7,,,"sierra_leone, french_guinea, ivory_coast",,,,,,,,,
lithuania,,Lithuania,baltic,russia,russia,russia,russia,lithuania,lithuania,lithuania,lithuania,1,home,55.56107554,23.77248709,Lithuania,3,120000,1555000,,,,,5,0.03,,"latvia, belarus, prussia, eastern_poland",,,,,,,,,
luxembourg,,Luxembourg,n_sea,luxembourg,luxembourg,luxembourg,luxembourg,luxembourg,luxembourg,luxembourg,luxembourg,,country,49.65789805,6.144056043,Luxembourg,4.5,0,150000,,,,,,0.06,,"belgium, northern_france, western_germany, southern_germany",,,,,,,,,
madagascar,,Madagascar,indian_west,madagascar,madagascar,madagascar,madagascar,madagascar,madagascar,madagascar,madagascar,,,-21.208293,46.548542,Madagascar,5,5000,2249500,,,,,,0.0085,,,,,,,,,,,
madeira,,Madeira,n_atlantic,madeira,madeira,madeira,madeira,madeira,madeira,madeira,madeira,,,32.137966,-15.866165,Madeira,1.25,7000,160000,,,,,,,,,,,,,,,,,
maine,,Maine,n_am_east,usa,usa,usa,usa,usa,usa,usa,usa,1,home,44.942479,-69.353089,Maine,4,30000,695000,,,,,,0.03,,"new_brunswick, central_canada, eastern_usa, canadian_prairies",,,,,,,,,
malaya,,Malaya,se_asia,malaysia,malaysia,malaysia,malaysia,malaysia,malaysia,malaysia,malaysia,,,4.190628,102.034774,Malaya,5,15000,900000,1908,10,300,500,7,,,"thailand, singapore",,,,,,,,,
maldives,,Maldives,arabian_sea,maldives,maldives,maldives,maldives,maldives,maldives,maldives,maldives,,,-0.551943,73.126784,Maldives,1.2,4000,56000,,,,,,,,,,,,,,,,,
malta,,Malta,medit3,malta,malta,malta,malta,malta,malta,malta,malta,,,35.322167,14.638622,Malta,2,25000,195000,,,,,,,,,,,,,,,,,
manchuria,,Manchuria,japan_sea,china,china,china,china,china,china,japan,china,1,home,45.123696,126.621246,Manchuria,7,0,25000000,1930,15,2000,2000,7,,,"northern_china, russian_far_east, liaodong_peninsula, northeast_korea, siberian_russia",,,,,,,,,
marquesas_islands,,Marquesas Islands,s_pacific,marquesas_islands,marquesas_islands,marquesas_islands,marquesas_islands,marquesas_islands,marquesas_islands,marquesas_islands,marquesas_islands,,,-9.861539,-139.246823,Marquesas Islands,0.1,3000,3000,,,,,,,,,,,,,,,,,
marshall_islands,,Marshall Islands,s_pacific,marshall_islands,marshall_islands,marshall_islands,marshall_islands,marshall_islands,marshall_islands,marshall_islands,marshall_islands,,,7.362595,168.787825,Marshall Islands,1,15000,15000,1925,1,100,100,,,,,,,,,,,,,
mauritania,,Mauritania,c_atlantic,mauritania,mauritania,mauritania,mauritania,mauritania,mauritania,mauritania,mauritania,,,20.136621,-10.435459,Mauritania,2,15000,502000,,,,,7,,,"western_sahara, senegal, french_sudan, southern_algeria",,,,,,,,,
mauritius,,Mauritius,indian_west,mauritius,mauritius,mauritius,mauritius,mauritius,mauritius,mauritius,mauritius,,,-18.610008,59.628433,Mauritius,1.45,5500,375000,,,,,,,,,,,,,,,,,
middle_congo,,Middle Congo,w_africa,congo,congo,congo,congo,congo,congo,congo,congo,,,-2.850737,14.586904,Middle Congo,4,12000,780000,,,,,7,,,"gabon, congo_free_state, portuguese_congo, cameroon, central_african_republic",,,,,,,,,
moldova,,Moldova,b_sea,russia,russia,russia,russia,moldova,russia,russia,moldova,1,home,47.58310945,28.36537115,Moldova,2,90000,1364050,1930,1,100,100,7,,,"ukraine, romania",,,,,,,,,
moluccas,,Moluccas,indonesian_sea,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,indonesia,,,-4.566726,128.428603,Moluccas,3,20000,1050000,1925,2,200,100,,,,,,,,,,,,,
mongolia,,Mongolia,japan_sea,mongolia,mongolia,mongolia,mongolia,mongolia,mongolia,mongolia,mongolia,,,46.663542,103.402931,Mongolia,2,0,604000,,,,,7,,3,"xinjiang, siberian_russia, northern_china",,,,,,,,,
montenegro,,Montenegro,adriatic,serbia,serbia,serbia,serbia,serbia,serbia,serbia,serbia,,,42.884913,19.356442,Montenegro,2,8000,320000,,,,,,0.02,3,"croatia, bosnia_&_herzegovina, serbia, kosovo, albania",,,,,,,,,
morocco,,Morocco,n_atlantic,morocco,morocco,morocco,morocco,morocco,morocco,morocco,morocco,,country,31.596618,-7.15678,Morocco,5,20000,3800000,1920,5,325,200,15,,,"northern_algeria, southern_algeria, western_sahara",,,,,,,,,
mozambique,,Mozambique,indian_west,mozambique,mozambique,mozambique,mozambique,mozambique,mozambique,mozambique,mozambique,,,-17.522569,35.509281,Mozambique,5,2000,2239000,,,,,,0.005,,"tanganyika, nyasaland, southern_rhodesia, transvaal, south_africa, northern_rhodesia, swaziland",,,,,,,,,
nepal,,Nepal,benghal_sea,nepal,nepal,nepal,nepal,nepal,nepal,nepal,nepal,,country,28.132244,83.76932,Nepal,3,0,3599000,,,,,25,,6,"tibet, northern_india, eastern_india",,,,,,,,,
netherlands,,Netherlands,n_sea,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,,country,51.99265528,5.271314421,Netherlands,17,40000,5104100,,,,,7,0.03,3,"belgium, western_germany",,,,,,,,,
new_brunswick,,New Brunswick,n_am_east,canada,canada,canada,canada,canada,canada,canada,canada,,country,46.902078,-66.219973,New Brunswick,3,30000,331120,,,,,,,,"central_canada, nova_scotia, maine",,,,,,,,,
new_caledonia,,New Caledonia,s_pacific,new_caledonia,new_caledonia,new_caledonia,new_caledonia,new_caledonia,new_caledonia,new_caledonia,new_caledonia,,,-21.417326,165.481015,New Caledonia,2.7,10000,54000,1925,1,100,100,,,,,,,,,,,,,
new_foundland,,Newfoundland,labrador_sea,canada,canada,canada,canada,canada,canada,canada,canada,,,53.812148,-61.19874,Newfoundland,3,30000,285000,,,,,,,,central_canada,,,,,,,,,
new_providence,,New Providence,caribbean,new_providence,new_providence,new_providence,new_providence,new_providence,new_providence,new_providence,new_providence,,,24.390547,-77.215586,New Providence,4,4000,45000,,,,,7,,,,,,,,,,,,
new_zealand,,New Zealand,oceania_south,new_zealand,new_zealand,new_zealand,new_zealand,new_zealand,new_zealand,new_zealand,new_zealand,,,-42.639365,172.172917,New Zealand,3.7,3000,802200,1930,4,250,100,,,,,,,,,,,,,
nicaragua,,Nicaragua,caribbean,nicaragua,nicaragua,nicaragua,nicaragua,nicaragua,nicaragua,nicaragua,nicaragua,,country,12.90547,-85.019032,Nicaragua,4,4000,429300,,,,,7,,,"honduras, costa_rica",,,,,,,,,
niger,,Niger,w_africa,niger,niger,niger,niger,niger,niger,niger,niger,,country,16.197643,8.68338,Niger,3,0,1459000,,,,,7,,,"southern_algeria, french_sudan, upper_volta, dahomey, nigeria, chad, fezzan-ghadames",,,,,,,,,
nigeria,,Nigeria,w_africa,nigeria,nigeria,nigeria,nigeria,nigeria,nigeria,nigeria,nigeria,,,9.208102,7.52966,Nigeria,7,36000,16000000,1927,5,1550,1500,7,,,"dahomey, cameroon, chad, niger",,,,,,,,,
north_borneo,,North Borneo,se_asia,malaysia,malaysia,malaysia,malaysia,malaysia,malaysia,malaysia,malaysia,,,5.319762,116.959205,North Borneo,3,1500,300000,1925,10,600,500,,,,"brunei, sarawak, borneo",,,,,,,,,
north_brazil,,Northern Brazil,c_atlantic,brazil,brazil,brazil,brazil,brazil,brazil,brazil,brazil,,country,-3.921065943,-52.64155125,Northern Brazil,7.5,45000,7984000,1930,5,800,300,7,0.03,,"french_guiana, suriname, british_guiana, venezuela, southern_colombia, peru, bolivia, south_brazil",,,,,,,,,
north_east_england,,Northeast England,n_sea,britain,britain,britain,britain,britain,britain,britain,britain,1,home,54.06476367,-1.087436554,Northeast England,9,120000,3349289,1890,100,300,300,7,0.03,,"scotland, north_west_england, eastern_england",,,,,,,,,
north_egypt,,Northern Egypt,medit,egypt,egypt,egypt,egypt,egypt,egypt,egypt,egypt,,,29.18496533,29.48837025,Northern Egypt,12,45000,15250000,1890,100,950,1000,15,0.03,1.5,"palestine, cyrenaica, south_egypt",,,,,,,,,
north_hokkaido,,North Hokkaido,japan_sea,japan,japan,japan,japan,japan,japan,japan,japan,1,home,44.43122386,142.4680865,North Hokkaido,2,45000,704000,,,,,7,,3,south_hokkaido,,,,,,,,,
north_honshu,,North Honshu,japan_sea,japan,japan,japan,japan,japan,japan,japan,japan,1,home,36.40323829,137.1493621,North Honshu,11,145000,16000000,,,,,7,,3,south_honshu,,,,,,,,,
north_sakhalin,,North Sakhalin,οkhotsk_sea,sakhalin,sakhalin,sakhalin,sakhalin,sakhalin,sakhalin,sakhalin,sakhalin,,,52.08903031,142.647868,North Sakhalin,3.5,40000,65200,1920,2,400,500,3,,,south_sakhalin,,,,,,,,,
north_west_england,,Northwest England,irish_sea,britain,britain,britain,britain,britain,britain,britain,britain,1,home,53.4773341,-1.6272721,Northwest England,6,120000,2740327,1890,100,200,300,7,0.03,,"north_east_england, wales, eastern_england, scotland",,,,,,,,,
north-east_frontier,,North-East Frontier,benghal_sea,india,india,india,india,india,india,india,india,,,28.38231943,94.48973135,North-East Frontier,1.25,0,240000,,,,,2,,6,"burma, tibet, bhutan, eastern_india",,,,,,,,,
northeast_china,,Northeast China,yellow_sea,china,china,china,china,china,china,china,china,1,home,39.33673125,115.3813707,Northeast China,20,120000,95500000,1890,100,2000,2000,7,0.015,,"liaodong_peninsula, kiautschou_bay, weihaiwei, eastern_china, central_china, northern_china",,,,,,,,,
northeast_italy,,Northeast Italy,adriatic,italy,italy,italy,italy,italy,italy,italy,italy,1,home,45.12735841,11.68965256,Northeast Italy,27,100000,10500000,,,,,7,,,"austria, switzerland, northwest_italy, central_italy, slovenia, southern_italy",,,,,,,,,
northeast_korea,,Northeast Korea,japan_sea,korean_empire,korean_empire,korean_empire,korean_empire,korean_empire,korean_empire,korean_empire,korean_empire,,,40.77435773,128.1503766,Northeast Korea,5.5,35000,3378700,,,,,7,0.035,,"southeast_korea, northwest_korea, liaodong_peninsula, manchuria, russian_far_east",,,,,,,,,
northeast_mexico,,Northeast Mexico,mex_coast,mexico,mexico,mexico,mexico,mexico,mexico,mexico,mexico,,country,22.6077906,-99.45563766,Northeast Mexico,6.5,10000,5205000,1920,2,800,400,,,,"gulf_coast, eastern_mexico, western_mexico",,,,,,,,,
northern_alaska,,Northern Alaska,bering_sea,alaska,alaska,alaska,alaska,alaska,alaska,alaska,alaska,1,,67.11076435,-152.6840433,Northern Alaska,0.5,0,35000,1930,3,1000,500,,,5,"southern_alaska, northern_canada",,,,,,,,,
northern_algeria,,Northern Algeria,medit2,algeria,algeria,algeria,algeria,algeria,algeria,algeria,algeria,,,33.22387823,3.141426421,Northern Algeria,4,4000,2995000,1930,5,200,100,7,,,"southern_algeria, tunisia, morocco",,,,,,,,,
northern_australia,,Northern Australia,indonesian_sea,australia,australia,australia,australia,australia,australia,australia,australia,1,home,-19.35055367,133.1420473,Northern Australia,7,30000,1229590,1920,1,525,250,,,,"eastern_australia, western_australia",,,,,,,,,
northern_canada,,Northern Canada,labrador_sea,canada,canada,canada,canada,canada,canada,canada,canada,,country,65.05292558,-100.2932414,Northern Canada,1.5,100000,250000,1920,2,1000,500,,,,"british_columbia, southern_alaska, northern_alaska, canadian_prairies",,,,,,,,,
northern_china,,Northern China,yellow_sea,china,china,china,china,china,china,china,china,1,home,40.03270173,102.8899636,Northern China,11,0,15500000,1890,100,1500,2000,15,0.015,,"manchuria, mongolia, xinjiang, central_china, northeast_china, siberian_russia, liaodong_peninsula",,,,,,,,,
northern_colombia,,Northern Colombia,caribbean,colombia,colombia,colombia,colombia,colombia,colombia,colombia,colombia,,country,8.414879,-74.797093,Northern Colombia,10,22000,2909900,1916,5,700,400,7,,,"venezuela, southern_colombia",,,,,,,,,
northern_finland,,Northern Finland,baltic,finland,finland,finland,finland,finland,finland,finland,finland,,,65.26371726,27.05263644,Northern Finland,3,40000,420000,1930,3,400,100,7,0.03,3,"eastern_sweden, northern_russia, northern_norway, southern_finland",,,,,,,,,
northern_france,,Northern France,english_channel,france,france,france,france,france,france,france,france,1,home,48.3,4.579062,Northern France,34,95000,17505000,1890,100,400,500,7,0.03,,"western_france, belgium, luxembourg, switzerland, southern_germany, southern_france",,,,,,,,,
northern_greece,,Northern Greece,aegean,ottoman,ottoman,ottoman,ottoman,greece,greece,greece,greece,,,39.670611,21.818518,Northern Greece,8.5,30000,2712000,,,,,33,0.05,5,"bosporus, eastern_rumelia, central_balkans, albania, southern_greece, dardanelles",,,,,,,,,
northern_india,,Northern India,benghal_sea,india,india,india,india,india,india,india,india,,,26.96115827,78.23009792,Northern India,9,80000,65000000,1890,,,,,,,"pakistan, kashmir, nepal, western_india, eastern_india, tibet",,,,,,,,,
northern_ireland,,Northern Ireland,irish_sea,britain,britain,britain,britain,britain,britain,britain,ireland,1,home,54.66105832,-6.729318791,Northern Ireland,5,25000,805000,,,,,15,0.03,,ireland,,,,,,,,,
northern_marianas,,Northern Marianas,philip_sea,northern_marianas,northern_marianas,northern_marianas,northern_marianas,northern_marianas,northern_marianas,northern_marianas,northern_marianas,,,14.613108,145.410675,Northern Marianas,0.7,10000,20000,,,,,,,,,,,,,,,,,
northern_norway,,Northern Norway,arctic,norway,norway,norway,norway,norway,norway,norway,norway,,country,68.71575693,18.52479738,Northern Norway,6,60000,418000,1930,5,200,150,7,0.055,3,"eastern_sweden, southern_norway, northern_finland, northern_russia",,,,,,,,,
northern_rhodesia,,Northern Rhodesia,indian_west,zambia,zambia,zambia,zambia,zambia,zambia,zambia,zambia,,country,-14.116667,27.633333,Northern Rhodesia,4.1,0,770000,,,,,,,,"southern_rhodesia, nyasaland, mozambique, angola, congo_free_state, tanganyika, southwest_africa, bechuanaland",,,,,,,,,
northern_russia,,Northern Russia,arctic,russia,russia,russia,russia,russia,russia,russia,russia,1,home,64.35099211,42.10806776,Northern Russia,4,150000,750000,1925,15,1000,2500,7,0.03,3,"northern_finland, southern_finland, siberian_russia, central_russia, northern_norway",,,,,,,,,
northern_spain,,Northern Spain,biscaic,spain,spain,spain,spain,spain,spain,spain,spain,1,home,42.059862,-4.091086,Northern Spain,10,80000,7600500,1930,5,400,300,7,0.03,,"portugal, western_spain, southern_spain, western_france",,,,,,,,,
northern_turkey,,Northern Turkey,b_sea,ottoman,ottoman,ottoman,ottoman,ottoman,ottoman,ottoman,ottoman,,country,40.5,34.320862,Northern Turkey,9,80000,2500000,1930,1,150,100,6,0.12,,"bosporus, western_turkey, southern_turkey, eastern_turkey, georgia",,,,,,,,,
northwest_italy,,Northwest Italy,medit2,italy,italy,italy,italy,italy,italy,italy,italy,1,home,44.45497784,9.640231652,Northwest Italy,21,120000,6000000,1925,5,200,100,7,0.03,,"northeast_italy, switzerland, southern_france, central_italy",,,,,,,,,
northwest_korea,,Northwest Korea,yellow_sea,korean_empire,korean_empire,korean_empire,korean_empire,korean_empire,korean_empire,korean_empire,korean_empire,,,39.78677657,125.1933078,Northwest Korea,4.5,35000,2237850,,,,,7,0.035,,"southwest_korea, southeast_korea, northeast_korea, liaodong_peninsula",,,,,,,,,
nova_scotia,,Nova Scotia,n_am_east,canada,canada,canada,canada,canada,canada,canada,canada,,country,45.387035,-62.685378,Nova Scotia,3,35000,459574,,,,,,,,new_brunswick,,,,,,,,,
nyasaland,,Nyasaland,indian_west,nyasaland,nyasaland,nyasaland,nyasaland,nyasaland,nyasaland,nyasaland,nyasaland,,,-13.53782564,34.39118685,Nyasaland,2,0,1125100,,,,,,,,"mozambique, tanganyika, northern_rhodesia",,,,,,,,,
okinawa_islands,,Okinawa Islands,east_asia,japan,japan,japan,japan,japan,japan,japan,japan,1,home,26.84892122,129.0463408,Okinawa Islands,1.5,45000,528000,,,,,7,,3,,,,,,,,,,
oman,,Oman,arabian_sea,oman,oman,oman,oman,oman,oman,oman,oman,,country,20.586618,56.074533,Oman,3,2000,500000,1935,2,800,1000,7,,,"trucial_states, arabia, yemen",,,,,,,,,
